#2022-05-02
#16:08:20
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 2000; ADC1:  20 kHz Tab 1; ; Ccd Temp(degC): -124.178; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
1E+0	-12.5994886E+3	1.503E+3
2E+0	-12.5738364E+3	1.55E+3
3E+0	-12.5481834E+3	1.562E+3
4E+0	-12.5225297E+3	1.527E+3
5E+0	-12.4968752E+3	1.539E+3
6E+0	-12.47122E+3	1.507E+3
7E+0	-12.445564E+3	1.568E+3
8E+0	-12.4199072E+3	1.526E+3
9E+0	-12.3942497E+3	1.523E+3
10E+0	-12.3685914E+3	1.581E+3
11E+0	-12.3429324E+3	1.55E+3
12E+0	-12.3172726E+3	1.594E+3
13E+0	-12.2916121E+3	1.63E+3
14E+0	-12.2659508E+3	1.593E+3
15E+0	-12.2402887E+3	1.551E+3
16E+0	-12.2146259E+3	1.575E+3
17E+0	-12.1889623E+3	1.578E+3
18E+0	-12.163298E+3	1.583E+3
19E+0	-12.1376329E+3	1.532E+3
20E+0	-12.1119671E+3	1.547E+3
21E+0	-12.0863005E+3	1.559E+3
22E+0	-12.0606332E+3	1.599E+3
23E+0	-12.0349651E+3	1.507E+3
24E+0	-12.0092963E+3	1.552E+3
25E+0	-11.9836267E+3	1.565E+3
26E+0	-11.9579563E+3	1.572E+3
27E+0	-11.9322853E+3	1.575E+3
