#2022-04-25
#17:28:00
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 100; Y End: 160; Integration Time(ms): 30000; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): -125.139; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
1E+0	547.0568E+0	1.387E+3
2E+0	547.1793E+0	1.401E+3
3E+0	547.3018E+0	1.416E+3
4E+0	547.4244E+0	1.425E+3
5E+0	547.5469E+0	1.44E+3
6E+0	547.6695E+0	1.451E+3
7E+0	547.792E+0	1.47E+3
8E+0	547.9146E+0	1.482E+3
9E+0	548.0371E+0	1.49E+3
10E+0	548.1597E+0	1.512E+3
11E+0	548.2822E+0	1.528E+3
12E+0	548.4048E+0	1.526E+3
13E+0	548.5274E+0	1.557E+3
14E+0	548.6499E+0	1.584E+3
15E+0	548.7725E+0	1.59E+3
16E+0	548.8951E+0	1.606E+3
17E+0	549.0176E+0	1.636E+3
18E+0	549.1402E+0	1.66E+3
19E+0	549.2628E+0	1.664E+3
20E+0	549.3853E+0	1.684E+3
21E+0	549.5079E+0	1.716E+3
22E+0	549.6305E+0	1.744E+3
23E+0	549.7531E+0	1.763E+3
24E+0	549.8756E+0	1.794E+3
25E+0	549.9982E+0	1.799E+3
26E+0	550.1208E+0	1.845E+3
27E+0	550.2434E+0	1.868E+3
28E+0	550.366E+0	1.893E+3
29E+0	550.4886E+0	1.932E+3
30E+0	550.6111E+0	1.956E+3
31E+0	550.7337E+0	1.98E+3
32E+0	550.8563E+0	2.023E+3
33E+0	550.9789E+0	2.065E+3
34E+0	551.1015E+0	2.103E+3
35E+0	551.2241E+0	2.138E+3
36E+0	551.3467E+0	2.196E+3
37E+0	551.4693E+0	2.229E+3
38E+0	551.5919E+0	2.29E+3
39E+0	551.7145E+0	2.323E+3
40E+0	551.8371E+0	2.385E+3
41E+0	551.9597E+0	2.443E+3
42E+0	552.0823E+0	2.5E+3
43E+0	552.205E+0	2.574E+3
44E+0	552.3276E+0	2.639E+3
45E+0	552.4502E+0	2.708E+3
46E+0	552.5728E+0	2.786E+3
47E+0	552.6954E+0	2.854E+3
48E+0	552.818E+0	2.932E+3
49E+0	552.9407E+0	3.022E+3
50E+0	553.0633E+0	3.144E+3
51E+0	553.1859E+0	3.278E+3
52E+0	553.3085E+0	3.347E+3
53E+0	553.4312E+0	3.507E+3
54E+0	553.5538E+0	3.63E+3
55E+0	553.6764E+0	3.762E+3
56E+0	553.799E+0	3.916E+3
57E+0	553.9217E+0	4.066E+3
58E+0	554.0443E+0	4.219E+3
59E+0	554.1669E+0	4.405E+3
60E+0	554.2896E+0	4.583E+3
61E+0	554.4122E+0	4.765E+3
62E+0	554.5349E+0	4.99E+3
63E+0	554.6575E+0	5.178E+3
64E+0	554.7802E+0	5.376E+3
65E+0	554.9028E+0	5.585E+3
66E+0	555.0255E+0	5.82E+3
67E+0	555.1481E+0	6.088E+3
68E+0	555.2708E+0	6.228E+3
69E+0	555.3934E+0	6.495E+3
70E+0	555.5161E+0	6.719E+3
71E+0	555.6387E+0	6.951E+3
72E+0	555.7614E+0	7.224E+3
73E+0	555.884E+0	7.465E+3
74E+0	556.0067E+0	7.685E+3
75E+0	556.1294E+0	7.899E+3
76E+0	556.252E+0	8.136E+3
77E+0	556.3747E+0	8.324E+3
78E+0	556.4974E+0	8.568E+3
79E+0	556.62E+0	8.768E+3
80E+0	556.7427E+0	8.94E+3
81E+0	556.8654E+0	9.133E+3
82E+0	556.988E+0	9.262E+3
83E+0	557.1107E+0	9.372E+3
84E+0	557.2334E+0	9.479E+3
85E+0	557.3561E+0	9.581E+3
86E+0	557.4787E+0	9.709E+3
87E+0	557.6014E+0	9.75E+3
88E+0	557.7241E+0	9.821E+3
89E+0	557.8468E+0	9.92E+3
90E+0	557.9695E+0	9.919E+3
91E+0	558.0922E+0	10.046E+3
92E+0	558.2149E+0	10.128E+3
93E+0	558.3375E+0	10.045E+3
94E+0	558.4602E+0	10.029E+3
95E+0	558.5829E+0	10.091E+3
96E+0	558.7056E+0	10.198E+3
97E+0	558.8283E+0	10.304E+3
98E+0	558.951E+0	10.422E+3
99E+0	559.0737E+0	10.439E+3
100E+0	559.1964E+0	10.48E+3
101E+0	559.3191E+0	10.497E+3
102E+0	559.4418E+0	10.52E+3
103E+0	559.5645E+0	10.576E+3
104E+0	559.6872E+0	10.552E+3
