#2022-08-18
#15:12:22
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 500;*AfterWait(ms): 0; Range: 1.861588E-1 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 15.399E-6 (W); Attenuation 0.00 (dB); Average Cnt: 1;
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           	ThorPM100A.Power(mW)          
0E+0	3.743694742974E+9	3.743694742974E+9	-22.3947827E-6
1E+0	3.743694743476E+9	3.743694743476E+9	11.1983763E-6
2E+0	3.74369474398E+9	3.74369474398E+9	19.5971588E-6
3E+0	3.743694744484E+9	3.743694744484E+9	2.79959409E-6
4E+0	3.743694744989E+9	3.743694744989E+9	6.99997054E-6
5E+0	3.743694745492E+9	3.743694745492E+9	6.99997054E-6
6E+0	3.743694745995E+9	3.743694745995E+9	-1.39881206E-6
7E+0	3.743694746501E+9	3.743694746501E+9	2.79959409E-6
8E+0	3.743694747004E+9	3.743694747004E+9	-13.9979711E-6
9E+0	3.743694747508E+9	3.743694747508E+9	2.79959409E-6
10E+0	3.743694748011E+9	3.743694748011E+9	2.79959409E-6
11E+0	3.743694748516E+9	3.743694748516E+9	6.99997054E-6
12E+0	3.743694749018E+9	3.743694749018E+9	-5.59918817E-6
13E+0	3.743694749523E+9	3.743694749523E+9	-9.79759443E-6
14E+0	3.743694750026E+9	3.743694750026E+9	-1.39881206E-6
15E+0	3.743694750531E+9	3.743694750531E+9	2.79959409E-6
16E+0	3.743694751035E+9	3.743694751035E+9	-5.59918817E-6
17E+0	3.743694751538E+9	3.743694751538E+9	11.1983763E-6
18E+0	3.743694752042E+9	3.743694752042E+9	2.79959409E-6
19E+0	3.743694752545E+9	3.743694752545E+9	-5.59918817E-6
20E+0	3.743694753048E+9	3.743694753048E+9	-18.1963769E-6
21E+0	3.743694753553E+9	3.743694753553E+9	-1.39881206E-6
22E+0	3.743694754056E+9	3.743694754056E+9	2.79959409E-6
23E+0	3.743694754559E+9	3.743694754559E+9	-1.39881206E-6
24E+0	3.743694755062E+9	3.743694755062E+9	11.1983763E-6
25E+0	3.743694755566E+9	3.743694755566E+9	6.99997054E-6
26E+0	3.74369475607E+9	3.74369475607E+9	-5.59918817E-6
27E+0	3.743694756574E+9	3.743694756574E+9	-13.9979711E-6
28E+0	3.743694757077E+9	3.743694757077E+9	-1.39881206E-6
29E+0	3.74369475758E+9	3.74369475758E+9	-1.39881206E-6
30E+0	3.743694758082E+9	3.743694758082E+9	2.79959409E-6
31E+0	3.743694758585E+9	3.743694758585E+9	-18.1963769E-6
32E+0	3.743694759088E+9	3.743694759088E+9	15.398753E-6
33E+0	3.743694759591E+9	3.743694759591E+9	2.79959409E-6
34E+0	3.743694760094E+9	3.743694760094E+9	-5.59918817E-6
35E+0	3.743694760599E+9	3.743694760599E+9	-1.39881206E-6
36E+0	3.743694761115E+9	3.743694761115E+9	-1.39881206E-6
37E+0	3.743694761618E+9	3.743694761618E+9	-1.39881206E-6
38E+0	3.743694762122E+9	3.743694762122E+9	2.79959409E-6
39E+0	3.743694762626E+9	3.743694762626E+9	15.398753E-6
40E+0	3.743694763129E+9	3.743694763129E+9	2.79959409E-6
41E+0	3.743694763634E+9	3.743694763634E+9	-5.59918817E-6
42E+0	3.743694764137E+9	3.743694764137E+9	-18.1963769E-6
43E+0	3.743694764641E+9	3.743694764641E+9	6.99997054E-6
44E+0	3.743694765177E+9	3.743694765177E+9	-18.1963769E-6
45E+0	3.743694765679E+9	3.743694765679E+9	2.79959409E-6
46E+0	3.743694766183E+9	3.743694766183E+9	-9.79759443E-6
47E+0	3.743694766686E+9	3.743694766686E+9	-22.3947827E-6
48E+0	3.743694767195E+9	3.743694767195E+9	-1.39881206E-6
49E+0	3.743694767698E+9	3.743694767698E+9	11.1983763E-6
50E+0	3.743694768201E+9	3.743694768201E+9	-1.39881206E-6
51E+0	3.743694768704E+9	3.743694768704E+9	-5.59918817E-6
