#2019-06-04
#16:19
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.64252438059E+9	0E+0	975.8754194259E-3	3.642524380593E+9	0E+0	0E+0
1E+0	3.642524380596E+9	0E+0	999.4102709469E-3	3.642524380694E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524380695E+9	0E+0	186.5783995467E-3	3.642524380788E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252438079E+9	0E+0	579.0773917206E-3	3.642524380799E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.6425243808E+9	1E+0	367.4823168203E-3	3.642524380912E+9	0E+0	0E+0
1E+0	3.642524380914E+9	1E+0	152.3414140184E-3	3.642524380941E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524380942E+9	1E+0	989.0477585635E-3	3.642524380949E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252438095E+9	1E+0	971.3736548341E-3	3.642524381007E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642524381009E+9	2E+0	230.9568305709E-3	3.642524381014E+9	0E+0	0E+0
1E+0	3.642524381016E+9	2E+0	995.8328038651E-3	3.642524381071E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524381073E+9	2E+0	996.2538850088E-3	3.642524381078E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252438108E+9	2E+0	24.15031335007E-3	3.642524381139E+9	277.5463882952E-3	277.5463882952E-3
