#2019-06-03
#12:35
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642424509024E+9	0E+0	142.6145754151E-3	3.642424509028E+9	0E+0	0E+0
1E+0	3.642424532982E+9	0E+0	445.7814876498E-3	3.642424533042E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642424556927E+9	0E+0	909.4457909491E-3	3.642424556973E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64242458087E+9	0E+0	283.6897351399E-3	3.64242458093E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642424604797E+9	1E+0	398.6690939083E-3	3.642424604865E+9	365.7335505573E-3	1.821212302433E+9
1E+0	3.642424633906E+9	1E+0	18.8762413182E-3	3.642424634047E+9	450.2664240777E-3	1.82121231707E+9
2E+0	3.642424663021E+9	1E+0	656.5449059837E-3	3.642424663083E+9	530.3003843269E-3	1.821212331635E+9
3E+0	3.642424692147E+9	1E+0	362.2009537228E-3	3.642424692212E+9	605.03575843E-3	1.821212346245E+9
0E+0	3.642424721232E+9	2E+0	338.4871969175E-3	3.642424721295E+9	673.725815233E-3	1.214141535068E+9
1E+0	3.64242472468E+9	2E+0	443.5840730566E-3	3.64242472475E+9	735.6842263944E-3	1.214141544861E+9
2E+0	3.642424724752E+9	2E+0	41.39365282294E-3	3.642424724812E+9	790.2919239506E-3	1.214141554437E+9
3E+0	3.642424724813E+9	2E+0	676.9627102695E-3	3.642424724892E+9	837.0032858384E-3	1.214141564389E+9
