#2020-11-04
#17:01
#Balayage par: dphy-morrislab
#ScanTask Size: 76

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:3; Dwell(s)1.000000E-2; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
600E+0	364.3333333333E+0
602E+0	335E+0
604E+0	296.3333333333E+0
606E+0	558E+0
608E+0	449E+0
610E+0	459.6666666667E+0
612E+0	412.3333333333E+0
614E+0	624.3333333333E+0
616E+0	560.3333333333E+0
618E+0	656.3333333333E+0
620E+0	556.3333333333E+0
622E+0	637.6666666667E+0
624E+0	823.3333333333E+0
626E+0	771.3333333333E+0
628E+0	674E+0
630E+0	757.6666666667E+0
632E+0	713.3333333333E+0
634E+0	742E+0
636E+0	785.3333333333E+0
638E+0	760E+0
640E+0	726E+0
642E+0	861.6666666667E+0
644E+0	1.184666666667E+3
646E+0	1.015E+3
648E+0	915E+0
650E+0	998E+0
652E+0	966E+0
654E+0	1.217333333333E+3
656E+0	969.3333333333E+0
658E+0	1.004333333333E+3
660E+0	1.091666666667E+3
662E+0	995.3333333333E+0
664E+0	885.3333333333E+0
666E+0	937E+0
668E+0	1.011666666667E+3
670E+0	881E+0
672E+0	873.3333333333E+0
674E+0	938.3333333333E+0
676E+0	857.3333333333E+0
678E+0	886E+0
680E+0	933.6666666667E+0
682E+0	800E+0
684E+0	894E+0
686E+0	732.3333333333E+0
688E+0	725E+0
690E+0	878.6666666667E+0
692E+0	1.114333333333E+3
694E+0	1.088E+3
696E+0	1.142333333333E+3
698E+0	921.3333333333E+0
700E+0	1.143666666667E+3
702E+0	19.259E+3
704E+0	21.20566666667E+3
706E+0	19.714E+3
708E+0	19.91666666667E+3
710E+0	18.62966666667E+3
712E+0	17.27766666667E+3
714E+0	16.11966666667E+3
