#2019-06-03
#11:46
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.64242156497E+9	0E+0	349.6152880583E-3	3.642421564973E+9	0E+0	0E+0
1E+0	3.642421658494E+9	0E+0	843.0068785603E-3	3.642421658611E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642421761404E+9	0E+0	620.0010236119E-3	3.642421761518E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642421854911E+9	0E+0	236.0269452529E-3	3.642421855019E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.64242194845E+9	1E+0	465.1062657479E-3	3.642421948562E+9	365.7335505573E-3	0E+0
1E+0	3.642421998424E+9	1E+0	761.923336173E-3	3.642421998514E+9	450.2664240777E-3	93.76145385975E-3
2E+0	3.642422006281E+9	1E+0	982.1698279743E-3	3.642422006417E+9	530.3003843269E-3	186.5860742659E-3
3E+0	3.642422006419E+9	1E+0	347.2162227729E-3	3.642422006555E+9	605.03575843E-3	277.5463882952E-3
0E+0	3.642422006557E+9	2E+0	378.0710467707E-3	3.642422006629E+9	673.725815233E-3	121.9111835191E-3
1E+0	3.642422006631E+9	2E+0	875.6176421453E-3	3.64242200671E+9	735.6842263944E-3	212.5964439324E-3
2E+0	3.642422006712E+9	2E+0	45.99921991507E-3	3.642422006782E+9	790.2919239506E-3	301.1575109529E-3
3E+0	3.642422006784E+9	2E+0	23.49074393949E-3	3.642422006848E+9	837.0032858384E-3	386.7095116735E-3
