#2019-05-31
#12:45
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642165929986E+9	0E+0	789.685958461E-3	3.642165929989E+9	0E+0
1E+0	3.64216592999E+9	0E+0	8.153958185506E-3	3.642165930127E+9	93.76145385975E-3
2E+0	3.642165930128E+9	0E+0	554.8154684919E-3	3.64216593021E+9	186.5860742659E-3
3E+0	3.642165930211E+9	0E+0	718.5586747386E-3	3.642165930294E+9	277.5463882952E-3
4E+0	3.642165930295E+9	0E+0	215.1589522591E-3	3.642165930305E+9	365.7335505573E-3
5E+0	3.642165930306E+9	0E+0	507.555355565E-3	3.642165930357E+9	450.2664240777E-3
6E+0	3.642165930358E+9	0E+0	318.3275128501E-3	3.642165930425E+9	530.3003843269E-3
7E+0	3.642165930425E+9	0E+0	898.76679741E-3	3.642165930489E+9	605.03575843E-3
8E+0	3.64216593049E+9	0E+0	821.3242971703E-3	3.642165930499E+9	673.725815233E-3
9E+0	3.642165930499E+9	0E+0	15.71319110332E-3	3.642165930598E+9	735.6842263944E-3
10E+0	3.642165930599E+9	0E+0	788.5924950694E-3	3.642165930607E+9	790.2919239506E-3
