#2019-06-04
#16:20
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642524549628E+9	0E+0	858.4478499085E-3	3.642524549633E+9	0E+0	0E+0
1E+0	3.642524549636E+9	0E+0	145.1589416824E-3	3.642524549735E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524549737E+9	0E+0	237.0102714785E-3	3.642524549761E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524549763E+9	0E+0	541.043549377E-3	3.64252454977E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642524549773E+9	1E+0	55.07579464929E-3	3.642524549811E+9	0E+0	0E+0
1E+0	3.642524549814E+9	1E+0	669.4473648943E-3	3.642524549846E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524549848E+9	1E+0	456.267097531E-3	3.642524549855E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524549858E+9	1E+0	979.5559962644E-3	3.642524549879E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642524549881E+9	2E+0	452.2623258816E-3	3.642524549889E+9	0E+0	0E+0
1E+0	3.642524549892E+9	2E+0	137.8079183454E-3	3.642524549925E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524549927E+9	2E+0	503.2730458548E-3	3.642524549952E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524549955E+9	2E+0	112.760294409E-3	3.642524549977E+9	277.5463882952E-3	277.5463882952E-3
