#2018-10-11
#08:21
#Balayage par: Administrateur
#ScanTask Size: 121,81


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
400E+0	400E+0	12.489320678710937E+3	-5.4660147094726562E+3	-58.00824609375E+3	59.588738297355092E+3
405E+0	400E+0	13.686906616210937E+3	-4.4313358764648437E+3	-56.19860400390625E+3	58.010788601998822E+3
410E+0	400E+0	13.654463623046875E+3	-4.4672154235839844E+3	-56.22895947265625E+3	58.035305565918912E+3
415E+0	400E+0	13.606384155273437E+3	-4.5210364685058594E+3	-56.27539697265625E+3	58.07317907476762E+3
420E+0	400E+0	13.58884912109375E+3	-4.54596484375E+3	-56.30729052734375E+3	58.101927669732868E+3
425E+0	400E+0	13.562744018554687E+3	-4.5744697265625E+3	-56.33130126953125E+3	58.12133586051665E+3
430E+0	400E+0	13.539374267578125E+3	-4.6030038757324219E+3	-56.35874267578125E+3	58.144737959091544E+3
435E+0	400E+0	13.518148559570312E+3	-4.6257997436523437E+3	-56.38382958984375E+3	58.165925915786029E+3
440E+0	400E+0	13.498578857421875E+3	-4.6537835693359375E+3	-56.408455078125E+3	58.187486534142175E+3
445E+0	400E+0	13.503801513671875E+3	-4.6534769897460937E+3	-56.410283203125E+3	58.190444658152199E+3
450E+0	400E+0	13.473949096679687E+3	-4.6789533081054687E+3	-56.43243896484375E+3	58.207048004309749E+3
455E+0	400E+0	13.438710327148437E+3	-4.7100311279296875E+3	-56.47066162109375E+3	58.238469374948836E+3
460E+0	400E+0	13.401801147460937E+3	-4.7473795776367187E+3	-56.5056787109375E+3	58.266954516175414E+3
465E+0	400E+0	13.370253662109375E+3	-4.7682889404296875E+3	-56.5298017578125E+3	58.284809855018626E+3
470E+0	400E+0	13.347600219726562E+3	-4.7925159912109375E+3	-56.55476953125E+3	58.305822239251989E+3
475E+0	400E+0	13.323073364257812E+3	-4.8172542114257812E+3	-56.579140625E+3	58.325892679004602E+3
480E+0	400E+0	13.292286376953125E+3	-4.83622509765625E+3	-56.60622216796875E+3	58.346711758644102E+3
485E+0	400E+0	13.293478759765625E+3	-4.8373325805664062E+3	-56.6036708984375E+3	58.344599832351232E+3
490E+0	400E+0	13.265934692382812E+3	-4.8551293334960937E+3	-56.629123046875E+3	58.364504350014606E+3
495E+0	400E+0	13.247326293945312E+3	-4.8777285766601562E+3	-56.65647314453125E+3	58.388699660339305E+3
500E+0	400E+0	13.199930053710937E+3	-4.9143763427734375E+3	-56.69780859375E+3	58.421152663873923E+3
505E+0	400E+0	13.171201293945312E+3	-4.9307334594726562E+3	-56.72785986328125E+3	58.445215372945997E+3
510E+0	400E+0	13.136708618164062E+3	-4.9523802490234375E+3	-56.75034521484375E+3	58.461108038525897E+3
515E+0	400E+0	13.104979736328125E+3	-4.9730382080078125E+3	-56.7732763671875E+3	58.478002911011725E+3
520E+0	400E+0	13.080233764648437E+3	-4.9892921752929687E+3	-56.801822265625E+3	58.501564036059855E+3
525E+0	400E+0	13.048475463867187E+3	-5.0060274658203125E+3	-56.8279541015625E+3	58.521276409435522E+3
530E+0	400E+0	13.027238037109375E+3	-5.0262011108398437E+3	-56.85550732421875E+3	58.545030831510521E+3
535E+0	400E+0	13.029016845703125E+3	-5.0225367431640625E+3	-56.8564609375E+3	58.54603897028153E+3
540E+0	400E+0	12.998431640625E+3	-5.0410828247070312E+3	-56.87968798828125E+3	58.563393584993268E+3
545E+0	400E+0	12.964097290039062E+3	-5.0589464111328125E+3	-56.91091748046875E+3	58.587657992121865E+3
550E+0	400E+0	12.926644409179687E+3	-5.088910888671875E+3	-56.959505859375E+3	58.629181057267167E+3
555E+0	400E+0	12.89887744140625E+3	-5.103680419921875E+3	-56.987150390625E+3	58.651209083970774E+3
560E+0	400E+0	12.883186889648437E+3	-5.1201284790039062E+3	-57.0153310546875E+3	58.676577241784158E+3
565E+0	400E+0	12.852272583007812E+3	-5.1377291870117187E+3	-57.03717333984375E+3	58.692561836453926E+3
570E+0	400E+0	12.836650634765625E+3	-5.1491776733398437E+3	-57.0675869140625E+3	58.719702795647092E+3
575E+0	400E+0	12.804322387695312E+3	-5.1615499267578125E+3	-57.09628369140625E+3	58.741624635160202E+3
580E+0	400E+0	12.804599365234375E+3	-5.1650029907226562E+3	-57.092837890625E+3	58.738637918633132E+3
585E+0	400E+0	12.775248046875E+3	-5.1793436889648437E+3	-57.119541015625E+3	58.759466677300406E+3
590E+0	400E+0	12.754547485351562E+3	-5.1904688720703125E+3	-57.149720703125E+3	58.785291316551862E+3
595E+0	400E+0	12.709708251953125E+3	-5.2186937866210937E+3	-57.19360205078125E+3	58.820744945765313E+3
600E+0	400E+0	12.676992309570312E+3	-5.231755859375E+3	-57.2255087890625E+3	58.845872736448844E+3
605E+0	400E+0	12.652800659179687E+3	-5.2393870849609375E+3	-57.2477978515625E+3	58.863021695611082E+3
610E+0	400E+0	12.636608154296875E+3	-5.2527182006835937E+3	-57.2713798828125E+3	58.883667482977158E+3
615E+0	400E+0	12.610247802734375E+3	-5.258468505859375E+3	-57.296541015625E+3	58.903003702147922E+3
620E+0	400E+0	12.6128466796875E+3	-5.2595262451171875E+3	-57.300685546875E+3	58.907686352134777E+3
625E+0	400E+0	12.593062744140625E+3	-5.2704258422851562E+3	-57.32742138671875E+3	58.930437350901455E+3
630E+0	400E+0	12.5774716796875E+3	-5.2801696166992187E+3	-57.346572265625E+3	58.946610633922028E+3
635E+0	400E+0	12.555669677734375E+3	-5.2938369140625E+3	-57.3704365234375E+3	58.966406329773206E+3
640E+0	400E+0	12.522944580078125E+3	-5.3115559692382812E+3	-57.40617919921875E+3	58.995818612753719E+3
645E+0	400E+0	12.510195068359375E+3	-5.3149893188476562E+3	-57.42917431640625E+3	59.015799736488065E+3
650E+0	400E+0	12.502821533203125E+3	-5.3248276977539062E+3	-57.44651025390625E+3	59.031994357184543E+3
655E+0	400E+0	12.488833984375E+3	-5.3321364135742187E+3	-57.4605361328125E+3	59.043343452546454E+3
660E+0	400E+0	12.490150024414062E+3	-5.337077880859375E+3	-57.481353515625E+3	59.06432596218527E+3
665E+0	400E+0	12.487167602539062E+3	-5.336344970703125E+3	-57.48289697265625E+3	59.065132285333886E+3
670E+0	400E+0	12.476405151367187E+3	-5.339528564453125E+3	-57.4975517578125E+3	59.07740726311993E+3
675E+0	400E+0	12.472905639648437E+3	-5.342619384765625E+3	-57.50962158203125E+3	59.088696292726257E+3
680E+0	400E+0	12.468687255859375E+3	-5.3482530517578125E+3	-57.522787109375E+3	59.101128498124672E+3
685E+0	400E+0	12.466398193359375E+3	-5.3520565795898437E+3	-57.539072265625E+3	59.116841259536544E+3
690E+0	400E+0	12.46862060546875E+3	-5.35653173828125E+3	-57.5514296875E+3	59.129743193726143E+3
695E+0	400E+0	12.4651044921875E+3	-5.3543833618164062E+3	-57.5620498046875E+3	59.139143897615089E+3
700E+0	400E+0	12.46466845703125E+3	-5.3566881713867187E+3	-57.5697373046875E+3	59.146742956167778E+3
705E+0	400E+0	12.463096313476562E+3	-5.353251708984375E+3	-57.57195068359375E+3	59.148255581808065E+3
710E+0	400E+0	12.46213427734375E+3	-5.3537127685546875E+3	-57.574703125E+3	59.15077346880611E+3
715E+0	400E+0	12.469870849609375E+3	-5.3495767211914062E+3	-57.57626708984375E+3	59.15355115116197E+3
720E+0	400E+0	12.4739404296875E+3	-5.3545662841796875E+3	-57.5867236328125E+3	59.165038398400124E+3
725E+0	400E+0	12.478904663085937E+3	-5.3492390747070312E+3	-57.589908203125E+3	59.168703683253414E+3
730E+0	400E+0	12.478348999023437E+3	-5.3498035278320312E+3	-57.5888154296875E+3	59.167573684984272E+3
735E+0	400E+0	12.486537231445312E+3	-5.3424325561523437E+3	-57.58720458984375E+3	59.167066165472854E+3
740E+0	400E+0	12.495017456054687E+3	-5.3401961059570312E+3	-57.58453466796875E+3	59.166056906017737E+3
745E+0	400E+0	12.506886108398437E+3	-5.3260543212890625E+3	-57.5851826171875E+3	59.167920491550692E+3
