#2019-06-06
#14:48
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642691724613E+9	0E+0	768.2003516828E-3	3.642691724615E+9	0E+0	0E+0
1E+0	3.642691724618E+9	0E+0	637.4721235018E-3	3.642691724714E+9	88.88712093625E-3	88.88712093625E-3
2E+0	3.642691724716E+9	0E+0	950.4011774534E-3	3.642691724785E+9	176.8861111423E-3	176.8861111423E-3
3E+0	3.642691724787E+9	0E+0	712.6141168732E-3	3.642691724795E+9	263.1177137966E-3	263.1177137966E-3
0E+0	3.642691724797E+9	1E+0	595.3472252129E-3	3.642691724854E+9	0E+0	0E+0
1E+0	3.642691724855E+9	1E+0	380.8804523029E-3	3.642691724911E+9	88.88712093625E-3	177.7742418725E-3
2E+0	3.642691724913E+9	1E+0	431.3126629781E-3	3.642691724961E+9	176.8861111423E-3	353.7722222846E-3
3E+0	3.642691724963E+9	1E+0	608.312598178E-3	3.642691725028E+9	263.1177137966E-3	526.2354275931E-3
0E+0	3.64269172503E+9	2E+0	951.673523977E-3	3.642691725036E+9	0E+0	0E+0
1E+0	3.642691725038E+9	2E+0	378.1775202433E-3	3.642691725089E+9	88.88712093625E-3	266.6613628088E-3
2E+0	3.642691725091E+9	2E+0	623.591705284E-3	3.642691725117E+9	176.8861111423E-3	530.6583334268E-3
3E+0	3.642691725119E+9	2E+0	100.9399839912E-3	3.642691725182E+9	263.1177137966E-3	789.3531413897E-3
