#2018-03-01
#16:47
#Balayage par: physique
#ScanTask Size: 221

#Échantillon: ; #Matériaux: Autres; 
#Fente d'entrée: 0,050mm; Fente de sortie: 1,000mm; #Température: 293,00°K; #Filtre Entrée: CGA 225; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 4PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 200,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 3.883; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 4.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
200E+0	-5.657E+0
201E+0	-5.1890000000000001E+0
202E+0	-5.2879999999999994E+0
203E+0	-4.9563333333333333E+0
204E+0	-4.7446666666666673E+0
205E+0	-4.9006666666666669E+0
206E+0	-4.5300000000000002E+0
207E+0	-3.8559999999999999E+0
208E+0	-3.7313333333333332E+0
209E+0	-3.8820000000000001E+0
210E+0	-3.9723333333333333E+0
211E+0	-3.9676666666666667E+0
212E+0	-3.8916666666666666E+0
213E+0	-3.7319999999999998E+0
214E+0	-3.4439999999999999E+0
215E+0	-3.7090000000000001E+0
216E+0	-3.4666666666666668E+0
217E+0	-3.6533333333333333E+0
218E+0	-3.573E+0
219E+0	-3.3370000000000002E+0
220E+0	-3.6703333333333332E+0
221E+0	-3.367E+0
222E+0	-3.6766666666666667E+0
223E+0	-3.6193333333333335E+0
224E+0	-3.6139999999999999E+0
225E+0	-3.3513333333333333E+0
226E+0	-3.4976666666666665E+0
227E+0	-3.5006666666666666E+0
228E+0	-3.5393333333333334E+0
229E+0	-3.4643333333333333E+0
230E+0	-3.1539999999999999E+0
231E+0	-3.0456666666666665E+0
232E+0	-3.3249999999999997E+0
233E+0	-3.2246666666666668E+0
234E+0	-3.1186666666666665E+0
235E+0	-3.3580000000000001E+0
236E+0	-3.1383333333333332E+0
237E+0	-2.8780000000000001E+0
238E+0	-3.0626666666666669E+0
239E+0	-2.8319999999999998E+0
240E+0	-3.0049999999999999E+0
241E+0	-2.9569999999999998E+0
242E+0	-2.8356666666666666E+0
243E+0	-2.8243333333333336E+0
244E+0	-2.9003333333333332E+0
245E+0	-2.8216666666666668E+0
246E+0	-2.7693333333333334E+0
247E+0	-2.7766666666666668E+0
248E+0	-2.7636666666666669E+0
249E+0	-2.9780000000000002E+0
250E+0	-2.8620000000000001E+0
251E+0	-2.774E+0
252E+0	-2.7226666666666666E+0
253E+0	-2.6353333333333335E+0
254E+0	-2.6600000000000001E+0
255E+0	-2.7716666666666665E+0
256E+0	-2.4456666666666664E+0
257E+0	-2.4813333333333336E+0
258E+0	-2.5543333333333336E+0
259E+0	-2.4276666666666666E+0
260E+0	-2.2146666666666666E+0
261E+0	-2.1683333333333334E+0
262E+0	-1.9603333333333333E+0
263E+0	-1.9756666666666667E+0
264E+0	-2.0223333333333331E+0
265E+0	-1.9086666666666665E+0
266E+0	-1.8973333333333333E+0
267E+0	-1.8266666666666667E+0
268E+0	-1.8283333333333334E+0
269E+0	-1.7133333333333334E+0
270E+0	-1.671E+0
271E+0	-1.4723333333333333E+0
272E+0	-1.5666666666666667E+0
273E+0	-1.4476666666666667E+0
274E+0	-1.4943333333333333E+0
275E+0	-1.4166666666666667E+0
276E+0	-1.4313333333333333E+0
277E+0	-1.3500000000000001E+0
278E+0	-1.3473333333333333E+0
279E+0	-1.2313333333333334E+0
280E+0	-1.3196666666666665E+0
281E+0	-1.3493333333333333E+0
282E+0	-1.2503333333333333E+0
283E+0	-1.1179999999999999E+0
284E+0	-1.2070000000000001E+0
285E+0	-1.1933333333333334E+0
286E+0	-1.0153333333333332E+0
287E+0	-1.1519999999999999E+0
288E+0	-949.99999999999996E-3
289E+0	-1.0296666666666667E+0
290E+0	-999.6666666666667E-3
291E+0	-1.0236666666666667E+0
292E+0	-974.33333333333338E-3
293E+0	-770.33333333333331E-3
294E+0	-843.99999999999997E-3
295E+0	-797.33333333333334E-3
296E+0	-732.33333333333328E-3
297E+0	-862.33333333333328E-3
298E+0	-627.66666666666671E-3
299E+0	-693.66666666666665E-3
300E+0	-488.99999999999999E-3
301E+0	-628.66666666666671E-3
302E+0	-590.66666666666667E-3
303E+0	-531.33333333333332E-3
304E+0	-503.66666666666671E-3
305E+0	-573.33333333333336E-3
306E+0	-327.66666666666666E-3
307E+0	-424.99999999999999E-3
308E+0	-339.00000000000002E-3
309E+0	-345.33333333333333E-3
310E+0	-266.66666666666666E-3
311E+0	-226.66666666666666E-3
312E+0	-224.33333333333333E-3
313E+0	-274.33333333333332E-3
314E+0	-177.33333333333334E-3
315E+0	-161.66666666666665E-3
316E+0	-71.999999999999995E-3
317E+0	-280.33333333333332E-3
318E+0	-145.33333333333334E-3
319E+0	-190E-3
320E+0	-24.333333333333332E-3
321E+0	-88.666666666666671E-3
322E+0	-92.999999999999999E-3
323E+0	-66.333333333333327E-3
324E+0	-114.66666666666667E-3
325E+0	-181.33333333333335E-3
326E+0	-82.99999999999999E-3
327E+0	-151.33333333333332E-3
328E+0	61.33333333333333E-3
329E+0	-96.333333333333326E-3
330E+0	-46.333333333333337E-3
331E+0	-119.33333333333333E-3
332E+0	-289.12057932946783E-21
333E+0	1.3333333333333333E-3
334E+0	1.0000000000000002E-3
335E+0	2.3333333333333331E-3
336E+0	65.666666666666665E-3
337E+0	-10E-3
338E+0	-59.666666666666666E-3
339E+0	-23E-3
340E+0	71.333333333333332E-3
341E+0	52.999999999999998E-3
342E+0	-56.999999999999995E-3
343E+0	-27E-3
344E+0	95.000000000000001E-3
345E+0	59.666666666666666E-3
346E+0	10E-3
347E+0	44.666666666666667E-3
348E+0	45.333333333333337E-3
349E+0	-19E-3
350E+0	5.0000000000000001E-3
351E+0	12.333333333333333E-3
352E+0	-37.999999999999999E-3
353E+0	43.333333333333335E-3
354E+0	44.333333333333336E-3
355E+0	81.666666666666665E-3
356E+0	21.000000000000001E-3
357E+0	45.333333333333337E-3
358E+0	77.333333333333337E-3
359E+0	93.333333333333338E-3
360E+0	104E-3
361E+0	95.000000000000001E-3
362E+0	123.66666666666666E-3
363E+0	106.33333333333334E-3
364E+0	149.66666666666667E-3
365E+0	53.333333333333337E-3
366E+0	56.333333333333332E-3
367E+0	69.000000000000006E-3
368E+0	-20.666666666666667E-3
369E+0	-9.6666666666666672E-3
370E+0	-175.66666666666667E-3
371E+0	-262.00000000000001E-3
372E+0	-357.66666666666663E-3
373E+0	-573.66666666666666E-3
374E+0	-675.00000000000004E-3
375E+0	-652.00000000000002E-3
376E+0	-830.33333333333337E-3
377E+0	-640.00000000000001E-3
378E+0	-957.99999999999996E-3
379E+0	-972.33333333333338E-3
380E+0	-940.66666666666665E-3
