#2020-10-30
#12:04
#Balayage par: dphy-morrislab
#ScanTask Size: 31

#Instrument: LSCI332@LSCI332.lvclass Function:Read_InputB&Heater (K,S,%,W); Parameters:*BeforeWait(ms):0*AfterWait(ms):0

#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             	LSCI332.Heater(%)             	LSCI332.Heater(W)             
3.686918649121E+9	240.5E+0	694.7E-3	0E+0	0E+0
3.686918650152E+9	240.5E+0	694.7E-3	0E+0	0E+0
3.686918651181E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918652212E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918653241E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918654271E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918655303E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918656343E+9	240.51E+0	694.7E-3	0E+0	0E+0
3.686918657372E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918658403E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918659432E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918660463E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918661492E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918662523E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918663552E+9	240.52E+0	694.7E-3	0E+0	0E+0
3.686918664583E+9	240.53E+0	694.7E-3	0E+0	0E+0
3.686918665613E+9	240.53E+0	694.7E-3	0E+0	0E+0
3.686918666642E+9	240.53E+0	694.7E-3	0E+0	0E+0
3.686918667672E+9	240.53E+0	694.7E-3	0E+0	0E+0
3.686918668702E+9	240.53E+0	694.6E-3	0E+0	0E+0
3.686918669732E+9	240.53E+0	694.6E-3	0E+0	0E+0
3.686918670763E+9	240.53E+0	694.6E-3	0E+0	0E+0
3.686918671793E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918672822E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918673852E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918674882E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918675912E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918676942E+9	240.54E+0	694.6E-3	0E+0	0E+0
3.686918677982E+9	240.55E+0	694.6E-3	0E+0	0E+0
3.686918679013E+9	240.55E+0	694.6E-3	0E+0	0E+0
3.686918680043E+9	240.55E+0	694.6E-3	0E+0	0E+0
