#2019-06-06
#14:54
#Balayage par: lalg1702
#ScanTask Size: 5,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642692064763E+9	0E+0	26.75131975532E-3	3.642692066266E+9	0E+0	0E+0
1E+0	3.642692066268E+9	0E+0	52.53770111325E-3	3.642692067769E+9	88.88712093625E-3	88.88712093625E-3
2E+0	3.642692067772E+9	0E+0	38.83104384549E-3	3.642692069275E+9	176.8861111423E-3	176.8861111423E-3
3E+0	3.642692069277E+9	0E+0	876.937834575E-3	3.642692070778E+9	263.1177137966E-3	263.1177137966E-3
4E+0	3.64269207078E+9	0E+0	139.3552199653E-3	3.642692072284E+9	346.7203312297E-3	346.7203312297E-3
0E+0	3.642692072286E+9	1E+0	520.9724496998E-3	3.642692073789E+9	0E+0	0E+0
1E+0	3.642692073792E+9	1E+0	990.6491726085E-3	3.642692075295E+9	88.88712093625E-3	177.7742418725E-3
2E+0	3.642692075297E+9	1E+0	131.8284531146E-3	3.642692076801E+9	176.8861111423E-3	353.7722222846E-3
3E+0	3.642692076804E+9	1E+0	988.6737156723E-3	3.642692078305E+9	263.1177137966E-3	526.2354275931E-3
4E+0	3.642692078307E+9	1E+0	423.0614658311E-3	3.642692079809E+9	346.7203312297E-3	693.4406624595E-3
0E+0	3.642692079811E+9	2E+0	133.5567548876E-3	3.642692081314E+9	0E+0	0E+0
1E+0	3.642692081316E+9	2E+0	842.0195332193E-3	3.642692082819E+9	88.88712093625E-3	266.6613628088E-3
2E+0	3.642692082821E+9	2E+0	341.9824734529E-3	3.642692084323E+9	176.8861111423E-3	530.6583334268E-3
3E+0	3.642692084325E+9	2E+0	916.2239102109E-3	3.642692085828E+9	263.1177137966E-3	789.3531413897E-3
4E+0	3.64269208583E+9	2E+0	983.2075472463E-3	3.642692087333E+9	346.7203312297E-3	1.040160993689E+0
