#2019-06-03
#12:50
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642425544098E+9	0E+0	872.0741778824E-3	3.642425544101E+9	0E+0	0E+0
1E+0	3.642425544103E+9	0E+0	698.8027244099E-3	3.642425544234E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642425544236E+9	0E+0	469.0540297121E-3	3.642425544335E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642425544336E+9	0E+0	24.50586623668E-3	3.642425544434E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642425544436E+9	1E+0	788.0736361144E-3	3.642425544518E+9	365.7335505573E-3	1.821212772259E+9
1E+0	3.642425544519E+9	1E+0	488.898901841E-3	3.642425544646E+9	450.2664240777E-3	1.82121277237E+9
2E+0	3.642425544648E+9	1E+0	721.0474488943E-3	3.642425544712E+9	530.3003843269E-3	1.821212772449E+9
3E+0	3.642425544713E+9	1E+0	411.3914423238E-3	3.642425544762E+9	605.03575843E-3	1.82121277252E+9
0E+0	3.642425544763E+9	2E+0	384.6590876496E-3	3.642425544836E+9	673.725815233E-3	1.214141848301E+9
1E+0	3.642425544839E+9	2E+0	336.3780278767E-3	3.642425544937E+9	735.6842263944E-3	1.214141848359E+9
2E+0	3.642425544939E+9	2E+0	164.718098119E-3	3.642425544992E+9	790.2919239506E-3	1.214141848354E+9
3E+0	3.642425544994E+9	2E+0	571.634607148E-3	3.642425545029E+9	837.0032858384E-3	1.214141848537E+9
