#2019-06-03
#11:32
#Balayage par: lalg1702
#ScanTask Size: 6,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642420720752E+9	0E+0	934.6423072783E-3	3.642420720755E+9	0E+0	0E+0
1E+0	3.642420763126E+9	0E+0	872.2160980141E-3	3.642420763235E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642420805374E+9	0E+0	133.0473824432E-3	3.642420805434E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642420836216E+9	0E+0	634.8411621644E-3	3.642420836315E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642420836317E+9	0E+0	869.7476753616E-3	3.642420836417E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642420836419E+9	0E+0	878.2415608444E-3	3.642420836511E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642420836512E+9	1E+0	736.8108877894E-3	3.642420836598E+9	530.3003843269E-3	0E+0
1E+0	3.642420836599E+9	1E+0	44.50007511239E-3	3.642420836669E+9	605.03575843E-3	93.76145385975E-3
2E+0	3.64242083667E+9	1E+0	237.7241783526E-3	3.642420836731E+9	673.725815233E-3	186.5860742659E-3
3E+0	3.642420836733E+9	1E+0	228.2969199379E-3	3.642420836788E+9	735.6842263944E-3	277.5463882952E-3
4E+0	3.64242083679E+9	1E+0	631.5114283308E-3	3.642420836859E+9	790.2919239506E-3	365.7335505573E-3
5E+0	3.64242083686E+9	1E+0	703.6820477017E-3	3.642420836911E+9	837.0032858384E-3	450.2664240777E-3
0E+0	3.642420836913E+9	2E+0	274.9409764831E-3	3.642420836972E+9	875.3515875706E-3	176.7667947756E-3
1E+0	3.642420836973E+9	2E+0	50.24373556322E-3	3.642420837046E+9	904.9536655926E-3	264.1862220498E-3
2E+0	3.642420837048E+9	2E+0	788.4876323695E-3	3.642420837108E+9	925.5137457258E-3	348.9659879216E-3
3E+0	3.64242083711E+9	2E+0	893.2386454105E-3	3.642420837147E+9	936.826398446E-3	430.259000995E-3
4E+0	3.642420837148E+9	2E+0	206.9039152877E-3	3.642420837191E+9	938.7785914665E-3	507.2530083551E-3
5E+0	3.642420837192E+9	2E+0	162.6087210845E-3	3.642420837236E+9	931.35081912E-3	579.1787113312E-3
