#2019-06-04
#15:54
#Balayage par: lalg1702
#ScanTask Size: 6,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642522866614E+9	0E+0	213.0700598299E-3	3.642522866619E+9	0E+0	0E+0
1E+0	3.64252286662E+9	0E+0	203.1993109329E-3	3.642522866729E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642522866731E+9	0E+0	432.7211926429E-3	3.642522866817E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642522866819E+9	0E+0	757.970147439E-3	3.6425228669E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642522866901E+9	0E+0	352.8613435498E-3	3.642522866999E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642522867001E+9	0E+0	632.6577134396E-3	3.642522867074E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642522867075E+9	1E+0	906.6289904368E-3	3.642522867169E+9	0E+0	0E+0
1E+0	3.642522867171E+9	1E+0	932.9367342039E-3	3.642522867258E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.64252286726E+9	1E+0	161.752070309E-3	3.642522867327E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642522867329E+9	1E+0	119.9578979565E-3	3.64252286742E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642522867421E+9	1E+0	311.7787359198E-3	3.642522867476E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642522867477E+9	1E+0	817.394673854E-3	3.642522867547E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642522867549E+9	2E+0	757.2937987462E-3	3.64252286761E+9	0E+0	0E+0
1E+0	3.642522867612E+9	2E+0	146.8873919629E-3	3.64252286769E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642522867691E+9	2E+0	91.67518031199E-3	3.642522867753E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642522867753E+9	2E+0	59.0524514111E-3	3.642522867833E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642522867835E+9	2E+0	199.050446801E-3	3.642522867892E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642522867893E+9	2E+0	482.3036652977E-3	3.642522867925E+9	450.2664240777E-3	450.2664240777E-3
