#2021-12-14
#11:10:35 AM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 50000
##Instrument: Tools@Tools.lvclass; Function:Minuteur (s); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: LSCI332@LSCI332.lvclass; Function:Read_InputB&Heater (K,S,%,W); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Input A Parameters: Sensor Type: 7.5V 1mA; Compensation: OFF; Curve Number: 28; Filtering : On; Filter Points: 45; Window %: 7; Input B Parameters: Sensor Type: Silicon Diode; Compensation: OFF; Curve Number: 2; Filtering : OFF; Filter Points: 8; Window %: 1; Heat Range: Off; Heater Power: 0.00W; Heater Output: 0.00%; Heater Resistance: 50 Ohms; Loop 1 Parameters: Ctrl Input: B; Ctrl Mode: Manual PID; Setpoint Units: Kelvin; Heater Units: Current; Power Up Enable: NO; Proportional Val: 40.00; Integral Val: 30.00; Derivative Val: 0; Setpoint: 310.00; Ramp Mode: OFF; Ramp Rate 1.00K/min; Manual Output: 0.00;  Loop 2 Parameters: Ctrl Input: A; Ctrl Mode: Manual PID; Setpoint Units: Sensor Units; Heater Units: Current; Power Up Enable: NO; Proportional Val: 50.00; Integral Val: 20.00; Derivative Val: 0; Setpoint: 0.00; Ramp Mode: OFF; Ramp Rate 0.00K/min; Manual Output: 0.00;  
#
#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             	LSCI332.Heater(%)             	LSCI332.Heater(W)             
3.722343040838E+9	269.73E+0	628.9E-3	0E+0	0E+0
3.722343045877E+9	266.07E+0	637.2E-3	0E+0	0E+0
3.722343050984E+9	262.44E+0	645.5E-3	0E+0	0E+0
3.722343056017E+9	258.84E+0	653.6E-3	0E+0	0E+0
3.722343061047E+9	255.28E+0	661.6E-3	0E+0	0E+0
3.722343066087E+9	251.72E+0	669.7E-3	0E+0	0E+0
3.722343071117E+9	248.14E+0	677.6E-3	0E+0	0E+0
3.722343076193E+9	244.6E+0	685.6E-3	0E+0	0E+0
3.722343081267E+9	241.1E+0	693.5E-3	0E+0	0E+0
3.722343086367E+9	237.56E+0	701.4E-3	0E+0	0E+0
3.722343091396E+9	234.04E+0	709.1E-3	0E+0	0E+0
3.722343096427E+9	230.61E+0	716.7E-3	0E+0	0E+0
3.722343101467E+9	227.2E+0	724.3E-3	0E+0	0E+0
3.722343106498E+9	223.73E+0	731.9E-3	0E+0	0E+0
3.722343111527E+9	220.34E+0	739.3E-3	0E+0	0E+0
3.722343116567E+9	216.96E+0	746.8E-3	0E+0	0E+0
3.722343121607E+9	213.54E+0	754.3E-3	0E+0	0E+0
3.722343126638E+9	210.18E+0	761.6E-3	0E+0	0E+0
3.722343131667E+9	206.84E+0	768.9E-3	0E+0	0E+0
3.722343136698E+9	203.51E+0	776.1E-3	0E+0	0E+0
3.722343141727E+9	200.15E+0	783.4E-3	0E+0	0E+0
3.722343146767E+9	196.89E+0	790.4E-3	0E+0	0E+0
3.722343151798E+9	193.53E+0	797.6E-3	0E+0	0E+0
3.722343156829E+9	190.26E+0	804.7E-3	0E+0	0E+0
3.722343161868E+9	187.01E+0	811.6E-3	0E+0	0E+0
3.722343166898E+9	183.77E+0	818.7E-3	0E+0	0E+0
3.722343171927E+9	180.45E+0	825.6E-3	0E+0	0E+0
3.722343176968E+9	177.22E+0	832.4E-3	0E+0	0E+0
3.722343182007E+9	174.03E+0	839.3E-3	0E+0	0E+0
3.722343187038E+9	170.77E+0	846.1E-3	0E+0	0E+0
3.722343192068E+9	167.55E+0	852.8E-3	0E+0	0E+0
3.722343197108E+9	164.36E+0	859.4E-3	0E+0	0E+0
3.722343202137E+9	161.13E+0	866.2E-3	0E+0	0E+0
3.722343207168E+9	157.98E+0	872.7E-3	0E+0	0E+0
3.722343212208E+9	154.81E+0	879.2E-3	0E+0	0E+0
3.722343217238E+9	151.61E+0	885.8E-3	0E+0	0E+0
3.722343222267E+9	148.49E+0	892.2E-3	0E+0	0E+0
3.722343227297E+9	145.36E+0	898.6E-3	0E+0	0E+0
3.722343232337E+9	142.23E+0	904.9E-3	0E+0	0E+0
3.722343237369E+9	139.03E+0	911.4E-3	0E+0	0E+0
3.722343242397E+9	135.89E+0	917.7E-3	0E+0	0E+0
3.722343247437E+9	132.66E+0	924.1E-3	0E+0	0E+0
3.722343252468E+9	129.52E+0	930.3E-3	0E+0	0E+0
3.722343257498E+9	126.39E+0	936.5E-3	0E+0	0E+0
3.722343262537E+9	123.25E+0	942.8E-3	0E+0	0E+0
3.722343267567E+9	120.08E+0	948.8E-3	0E+0	0E+0
3.722343272597E+9	116.98E+0	954.9E-3	0E+0	0E+0
3.722343277637E+9	113.87E+0	960.8E-3	0E+0	0E+0
3.722343282668E+9	110.72E+0	966.8E-3	0E+0	0E+0
3.722343287698E+9	107.64E+0	972.7E-3	0E+0	0E+0
3.722343292737E+9	104.62E+0	978.4E-3	0E+0	0E+0
3.722343297779E+9	101.58E+0	984E-3	0E+0	0E+0
3.722343302808E+9	98.592E+0	989.6E-3	0E+0	0E+0
3.722343307848E+9	95.6E+0	995.1E-3	0E+0	0E+0
3.722343312877E+9	92.559E+0	1.0006E+0	0E+0	0E+0
3.722343317908E+9	89.541E+0	1.0061E+0	0E+0	0E+0
3.722343322939E+9	86.561E+0	1.0114E+0	0E+0	0E+0
3.722343327968E+9	83.442E+0	1.0169E+0	0E+0	0E+0
3.722343332999E+9	80.367E+0	1.0223E+0	0E+0	0E+0
3.72234333803E+9	77.252E+0	1.0278E+0	0E+0	0E+0
3.722343343068E+9	74.092E+0	1.0332E+0	0E+0	0E+0
3.722343348098E+9	70.811E+0	1.0388E+0	0E+0	0E+0
3.722343353128E+9	67.539E+0	1.0443E+0	0E+0	0E+0
3.722343358169E+9	64.194E+0	1.0499E+0	0E+0	0E+0
3.722343363198E+9	60.652E+0	1.0558E+0	0E+0	0E+0
3.722343368228E+9	57.053E+0	1.0617E+0	0E+0	0E+0
3.722343373269E+9	53.246E+0	1.0679E+0	0E+0	0E+0
3.722343378298E+9	49.109E+0	1.0745E+0	0E+0	0E+0
3.722343383328E+9	44.649E+0	1.0816E+0	0E+0	0E+0
