#2019-05-31
#10:28
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642157738717E+9	0E+0	644.7172585748E-3	3.64215773872E+9	0E+0
1E+0	3.642157738722E+9	0E+0	223.1379042943E-3	3.642157738725E+9	93.76145385975E-3
2E+0	3.642157738726E+9	0E+0	785.0486237522E-3	3.64215773873E+9	186.5860742659E-3
3E+0	3.642157738731E+9	0E+0	708.2679152712E-3	3.642157738904E+9	277.5463882952E-3
4E+0	3.642157738905E+9	0E+0	753.0553985675E-3	3.642157738907E+9	365.7335505573E-3
5E+0	3.642157738908E+9	0E+0	160.0621193435E-3	3.642157738909E+9	450.2664240777E-3
6E+0	3.64215773891E+9	0E+0	493.2668776971E-3	3.642157738912E+9	530.3003843269E-3
7E+0	3.642157738913E+9	0E+0	191.7288276117E-3	3.642157738964E+9	605.03575843E-3
8E+0	3.642157738965E+9	0E+0	999.045279005E-3	3.642157738967E+9	673.725815233E-3
9E+0	3.642157738968E+9	0E+0	793.1729453788E-3	3.642157738969E+9	735.6842263944E-3
10E+0	3.64215773897E+9	0E+0	454.967666288E-3	3.642157738972E+9	790.2919239506E-3
