#2021-02-10
#15:19
#Balayage par: lalg1702
#ScanTask Size: 101


#Ind Point(Point)              	Temps Abs(ms)                 	Random Number(Arb)            	Crb 1 Dat(Arb)                
0E+0	3.695833153695E+9	545.1800379796E-3	0E+0
1E+0	3.695833153696E+9	264.6351415142E-3	49.5213842439E-3
2E+0	3.695833153703E+9	357.8195659199E-3	98.54796718603E-3
3E+0	3.695833153716E+9	234.65297346E-3	146.5898914157E-3
4E+0	3.695833153721E+9	21.99022338911E-3	193.1671379064E-3
5E+0	3.695833153734E+9	195.2290285708E-3	237.8143222078E-3
6E+0	3.69583315374E+9	379.5346691879E-3	280.0853444127E-3
7E+0	3.695833153767E+9	816.9954779278E-3	319.5578464401E-3
8E+0	3.695833153771E+9	530.4446554909E-3	355.8374320976E-3
9E+0	3.695833153784E+9	168.1199612857E-3	388.5616077578E-3
10E+0	3.695833153793E+9	648.9293324617E-3	417.4034042747E-3
11E+0	3.695833153823E+9	576.7441704756E-3	442.0746439513E-3
12E+0	3.695833153829E+9	22.08410086496E-3	462.3288199161E-3
13E+0	3.695833153856E+9	796.5029975087E-3	477.9635591377E-3
14E+0	3.695833153862E+9	266.6866449953E-3	488.8226444703E-3
15E+0	3.695833153878E+9	361.9902848936E-3	494.7975755225E-3
16E+0	3.695833153886E+9	262.8070934166E-3	495.8286527585E-3
17E+0	3.6958331539E+9	200.7100185557E-3	491.9055739953E-3
18E+0	3.695833153904E+9	904.4700491827E-3	483.0675373391E-3
19E+0	3.695833153908E+9	288.2543051581E-3	469.4028495307E-3
20E+0	3.695833153932E+9	73.98352753598E-3	451.0480436137E-3
21E+0	3.695833153938E+9	134.1078965466E-3	428.1865147416E-3
22E+0	3.695833153954E+9	870.3111243368E-3	401.0466877538E-3
23E+0	3.69583315396E+9	853.7269510452E-3	369.8997348305E-3
24E+0	3.695833153975E+9	376.5256336826E-3	335.0568660293E-3
25E+0	3.695833153981E+9	956.179355899E-3	296.8662197778E-3
26E+0	3.695833154001E+9	842.6756823567E-3	255.7093843892E-3
