#2020-11-02
#16:06
#Balayage par: dphy-morrislab
#ScanTask Size: 201

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:1; Dwell(s)1.000000E-1; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
550E+0	167E+0
551E+0	295E+0
552E+0	326E+0
553E+0	291E+0
554E+0	476E+0
555E+0	570E+0
556E+0	749E+0
557E+0	914E+0
558E+0	1.369E+3
559E+0	2.696E+3
560E+0	2.721E+3
561E+0	3.097E+3
562E+0	2.994E+3
563E+0	3.206E+3
564E+0	3.976E+3
565E+0	4.764E+3
566E+0	4.645E+3
567E+0	4.519E+3
568E+0	4.526E+3
569E+0	5.226E+3
570E+0	5.217E+3
571E+0	5.98E+3
572E+0	6.11E+3
573E+0	6.211E+3
574E+0	6.717E+3
575E+0	7.392E+3
576E+0	8.418E+3
577E+0	7.68E+3
578E+0	8.328E+3
579E+0	7.888E+3
580E+0	8.535E+3
581E+0	8.543E+3
582E+0	7.859E+3
583E+0	6.936E+3
584E+0	7.007E+3
585E+0	6.983E+3
586E+0	6.598E+3
587E+0	6.754E+3
588E+0	7.708E+3
589E+0	6.995E+3
590E+0	6.392E+3
591E+0	6.304E+3
592E+0	6.522E+3
593E+0	7.481E+3
594E+0	6.552E+3
595E+0	6.605E+3
596E+0	6.852E+3
597E+0	6.812E+3
598E+0	6.558E+3
599E+0	6.543E+3
600E+0	7.672E+3
601E+0	7.859E+3
602E+0	7.249E+3
603E+0	7.561E+3
604E+0	7.578E+3
605E+0	8.903E+3
606E+0	8.145E+3
607E+0	8.181E+3
608E+0	9.251E+3
609E+0	9.128E+3
610E+0	9.811E+3
611E+0	9.617E+3
612E+0	9.764E+3
613E+0	10.333E+3
614E+0	9.954E+3
615E+0	10.687E+3
616E+0	11.117E+3
617E+0	12.127E+3
618E+0	10.66E+3
619E+0	10.821E+3
620E+0	10.925E+3
621E+0	11.048E+3
622E+0	10.864E+3
623E+0	12.386E+3
624E+0	10.916E+3
625E+0	10.747E+3
626E+0	10.491E+3
627E+0	9.845E+3
628E+0	10.511E+3
629E+0	11.534E+3
630E+0	10.573E+3
631E+0	10.221E+3
632E+0	9.924E+3
633E+0	9.808E+3
634E+0	9.779E+3
635E+0	9.707E+3
636E+0	9.412E+3
637E+0	9.243E+3
638E+0	9.186E+3
639E+0	10.228E+3
640E+0	8.453E+3
641E+0	8.658E+3
642E+0	7.768E+3
643E+0	8.922E+3
644E+0	8.744E+3
645E+0	8.134E+3
646E+0	7.681E+3
647E+0	8.612E+3
648E+0	7.303E+3
649E+0	7.479E+3
650E+0	6.969E+3
651E+0	7.215E+3
652E+0	7.363E+3
653E+0	6.703E+3
654E+0	6.836E+3
655E+0	6.604E+3
656E+0	5.54E+3
657E+0	6.644E+3
658E+0	6.408E+3
659E+0	7.368E+3
660E+0	5.615E+3
661E+0	5.471E+3
662E+0	5.7E+3
663E+0	5.908E+3
664E+0	5.028E+3
665E+0	5.463E+3
666E+0	6.042E+3
667E+0	5.172E+3
668E+0	4.975E+3
669E+0	5.685E+3
670E+0	5.319E+3
671E+0	6.091E+3
672E+0	4.448E+3
673E+0	4.88E+3
674E+0	4.642E+3
675E+0	4.891E+3
676E+0	5.188E+3
677E+0	4.769E+3
678E+0	4.873E+3
679E+0	4.405E+3
680E+0	4.241E+3
681E+0	4.314E+3
682E+0	4.421E+3
683E+0	4.172E+3
684E+0	4.318E+3
685E+0	3.746E+3
686E+0	4.435E+3
687E+0	4.065E+3
688E+0	3.918E+3
689E+0	4.253E+3
690E+0	3.74E+3
691E+0	3.484E+3
692E+0	3.568E+3
693E+0	4.009E+3
694E+0	2.832E+3
695E+0	3.537E+3
696E+0	2.836E+3
697E+0	2.774E+3
698E+0	3.415E+3
699E+0	3.271E+3
700E+0	2.78E+3
701E+0	2.732E+3
702E+0	2.267E+3
703E+0	2.769E+3
704E+0	2.559E+3
705E+0	2.876E+3
706E+0	2.744E+3
707E+0	2.391E+3
708E+0	1.946E+3
709E+0	2.079E+3
710E+0	2.143E+3
711E+0	1.749E+3
712E+0	1.814E+3
713E+0	1.768E+3
714E+0	1.71E+3
715E+0	1.677E+3
716E+0	1.752E+3
717E+0	2.052E+3
718E+0	1.703E+3
719E+0	1.985E+3
720E+0	1.529E+3
721E+0	1.609E+3
722E+0	1.776E+3
723E+0	1.36E+3
724E+0	1.553E+3
725E+0	1.602E+3
726E+0	1.63E+3
727E+0	1.416E+3
728E+0	1.463E+3
729E+0	1.438E+3
730E+0	1.217E+3
731E+0	1.334E+3
732E+0	1.141E+3
733E+0	1.165E+3
734E+0	1.386E+3
735E+0	1.163E+3
736E+0	1.199E+3
737E+0	1.027E+3
738E+0	1.058E+3
739E+0	1.409E+3
740E+0	942E+0
741E+0	1.258E+3
742E+0	945E+0
743E+0	765E+0
744E+0	899E+0
745E+0	865E+0
746E+0	1.106E+3
747E+0	885E+0
748E+0	1.167E+3
749E+0	943E+0
750E+0	888E+0
