#2020-12-10
#12:25
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.AgilentDMM(Arb)     
3.690465931939E+9	6.55783847E+0
3.690465932082E+9	6.55782515E+0
3.690465932229E+9	6.55782818E+0
3.690465932368E+9	6.55785419E+0
3.690465932509E+9	6.55787849E+0
3.690465932649E+9	6.55785897E+0
3.690465932789E+9	6.5578583E+0
3.690465932929E+9	6.55788321E+0
3.690465933078E+9	6.55786803E+0
3.690465933219E+9	6.55778791E+0
3.690465933359E+9	6.55787247E+0
3.690465933498E+9	6.55779266E+0
3.69046593364E+9	6.55786558E+0
3.690465933779E+9	6.55783125E+0
3.690465933919E+9	6.55785475E+0
3.690465934058E+9	6.55785844E+0
3.690465934199E+9	6.55784362E+0
3.69046593434E+9	6.55780459E+0
3.690465934479E+9	6.55784553E+0
3.69046593462E+9	6.55785093E+0
3.690465934759E+9	6.55779893E+0
3.690465934899E+9	6.55781178E+0
3.69046593504E+9	6.55786243E+0
3.69046593518E+9	6.5578495E+0
3.690465935319E+9	6.55784503E+0
3.690465935458E+9	6.55786575E+0
3.690465935599E+9	6.55786097E+0
3.69046593574E+9	6.55779103E+0
3.690465935878E+9	6.55782709E+0
3.690465936019E+9	6.55786212E+0
3.690465936159E+9	6.55787947E+0
3.690465936299E+9	6.55779666E+0
3.690465936439E+9	6.55783856E+0
3.69046593658E+9	6.55785984E+0
3.690465936718E+9	6.55786524E+0
3.69046593686E+9	6.5578409E+0
3.690465936998E+9	6.55782503E+0
3.690465937139E+9	6.55779115E+0
3.690465937279E+9	6.55786766E+0
3.690465937419E+9	6.55780135E+0
3.690465937558E+9	6.55780155E+0
3.690465937701E+9	6.55778681E+0
3.69046593785E+9	6.55784027E+0
3.690465937989E+9	6.55777644E+0
3.69046593813E+9	6.5577781E+0
3.690465938269E+9	6.557816E+0
3.690465938408E+9	6.557834E+0
3.690465938549E+9	6.55782337E+0
3.690465938688E+9	6.55785321E+0
3.69046593883E+9	6.5577912E+0
3.690465938969E+9	6.55783425E+0
3.690465939109E+9	6.55786744E+0
3.690465939248E+9	6.55783496E+0
3.690465939389E+9	6.55778268E+0
3.690465939528E+9	6.55784314E+0
3.690465939669E+9	6.55786875E+0
3.690465939809E+9	6.55784087E+0
3.690465939948E+9	6.55785371E+0
3.69046594009E+9	6.55778819E+0
3.69046594023E+9	6.55779893E+0
3.690465940378E+9	6.55779553E+0
3.690465940519E+9	6.55777653E+0
3.690465940659E+9	6.55786741E+0
3.690465940799E+9	6.55780487E+0
3.690465940939E+9	6.55786229E+0
3.690465941079E+9	6.55777177E+0
3.690465941218E+9	6.55787447E+0
3.690465941359E+9	6.55781716E+0
3.690465941499E+9	6.55777972E+0
3.690465941638E+9	6.55787106E+0
3.690465941779E+9	6.55779044E+0
3.690465941918E+9	6.55776756E+0
3.690465942059E+9	6.55779725E+0
3.6904659422E+9	6.5578529E+0
3.690465942339E+9	6.55784534E+0
3.690465942479E+9	6.55785512E+0
3.690465942621E+9	6.55779927E+0
3.69046594276E+9	6.55782925E+0
3.6904659429E+9	6.55787418E+0
3.690465943039E+9	6.5578374E+0
3.690465943179E+9	6.55776174E+0
3.690465943319E+9	6.55779759E+0
3.69046594346E+9	6.55786844E+0
3.690465943599E+9	6.55786083E+0
3.69046594374E+9	6.55785172E+0
3.690465943881E+9	6.55775987E+0
3.690465944019E+9	6.55783934E+0
3.69046594416E+9	6.55775363E+0
3.690465944298E+9	6.55777109E+0
