#2019-06-03
#13:07
#Balayage par: lalg1702
#ScanTask Size: 6,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642426427022E+9	0E+0	442.054777729E-3	3.642426427025E+9	0E+0
1E+0	3.642426427027E+9	0E+0	922.4118455655E-3	3.642426427147E+9	93.76145385975E-3
2E+0	3.642426427148E+9	0E+0	169.1889099286E-3	3.642426427229E+9	186.5860742659E-3
3E+0	3.642426427231E+9	0E+0	552.8299943771E-3	3.642426427304E+9	277.5463882952E-3
4E+0	3.642426427305E+9	0E+0	136.5319096315E-3	3.64242642739E+9	365.7335505573E-3
5E+0	3.642426427391E+9	0E+0	5.302364555031E-3	3.642426427468E+9	450.2664240777E-3
0E+0	3.642426427469E+9	1E+0	953.0216205862E-3	3.642426427559E+9	530.3003843269E-3
1E+0	3.642426427561E+9	1E+0	775.5015376382E-3	3.642426427644E+9	605.03575843E-3
2E+0	3.642426427645E+9	1E+0	904.5574807339E-3	3.642426427719E+9	673.725815233E-3
3E+0	3.64242642772E+9	1E+0	715.8988025327E-3	3.6424264278E+9	735.6842263944E-3
4E+0	3.642426427801E+9	1E+0	373.0131195711E-3	3.642426427882E+9	790.2919239506E-3
5E+0	3.642426427883E+9	1E+0	866.9431044847E-3	3.642426427894E+9	837.0032858384E-3
0E+0	3.642426427895E+9	2E+0	933.5532464183E-3	3.642426427999E+9	875.3515875706E-3
1E+0	3.642426428E+9	2E+0	448.1839809253E-3	3.64242642807E+9	904.9536655926E-3
2E+0	3.642426428071E+9	2E+0	960.6476299292E-3	3.642426428153E+9	925.5137457258E-3
3E+0	3.642426428155E+9	2E+0	791.2809493662E-3	3.64242642823E+9	936.826398446E-3
4E+0	3.642426428231E+9	2E+0	827.7200882669E-3	3.642426428305E+9	938.7785914665E-3
5E+0	3.642426428306E+9	2E+0	448.5159795199E-3	3.642426428389E+9	931.35081912E-3
