#2019-05-31
#10:30
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642157819087E+9	0E+0	38.1344926313E-3	3.642157819091E+9	0E+0
1E+0	3.642157819092E+9	0E+0	343.184326801E-3	3.642157819096E+9	93.76145385975E-3
2E+0	3.642157819097E+9	0E+0	349.7435871352E-3	3.6421578192E+9	186.5860742659E-3
3E+0	3.642157819202E+9	0E+0	591.4807612634E-3	3.642157819205E+9	277.5463882952E-3
4E+0	3.642157819206E+9	0E+0	584.0580594645E-3	3.642157819209E+9	365.7335505573E-3
5E+0	3.64215781921E+9	0E+0	671.8645040891E-3	3.642157819221E+9	450.2664240777E-3
6E+0	3.642157819222E+9	0E+0	390.9455259798E-3	3.642157819225E+9	530.3003843269E-3
7E+0	3.642157819227E+9	0E+0	916.6720834905E-3	3.642157819236E+9	605.03575843E-3
8E+0	3.642157819237E+9	0E+0	124.3745786363E-3	3.64215781924E+9	673.725815233E-3
9E+0	3.642157819241E+9	0E+0	763.3710540692E-3	3.642157819243E+9	735.6842263944E-3
10E+0	3.642157819245E+9	0E+0	306.8992854492E-3	3.642157819255E+9	790.2919239506E-3
