#2019-05-30
#12:10
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642077402613E+9	0E+0	861.7461775609E-3	3.642077402615E+9	0E+0
1E+0	3.642077402615E+9	0E+0	940.3586361356E-3	3.642077402617E+9	93.76145385975E-3
2E+0	3.642077402618E+9	0E+0	423.0896232197E-3	3.64207740262E+9	186.5860742659E-3
3E+0	3.64207740262E+9	0E+0	262.348976295E-3	3.642077402622E+9	277.5463882952E-3
4E+0	3.642077402622E+9	0E+0	112.1204133946E-3	3.642077402624E+9	365.7335505573E-3
5E+0	3.642077402625E+9	0E+0	780.5568483512E-3	3.642077402701E+9	450.2664240777E-3
6E+0	3.642077402701E+9	0E+0	374.1935470966E-3	3.642077402703E+9	530.3003843269E-3
7E+0	3.642077402703E+9	0E+0	505.2282321993E-3	3.642077402705E+9	605.03575843E-3
8E+0	3.642077402705E+9	0E+0	639.774682346E-3	3.642077402707E+9	673.725815233E-3
9E+0	3.642077402707E+9	0E+0	276.6517815792E-3	3.642077402708E+9	735.6842263944E-3
10E+0	3.642077402709E+9	0E+0	977.805186949E-3	3.64207740271E+9	790.2919239506E-3
