#2019-05-17
#18:03
#Balayage par: lalg1702
#ScanTask Size: 51


#Tools.Indice de points(Points)	Tools.Crb 1 Dat(Arb)          	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           
0E+0	0E+0	694.51397031690876E-3	3.6409754277337599E+9
1E+0	30.260515496984115E-3	710.52732670239438E-3	3.6409754282365694E+9
2E+0	60.218677925918881E-3	463.9862106571877E-3	3.6409754287401867E+9
3E+0	89.575155230666267E-3	778.91643573405389E-3	3.6409754292420292E+9
4E+0	118.03662719395849E-3	840.36530127878462E-3	3.640975429745863E+9
5E+0	145.31871619605008E-3	612.55845726533487E-3	3.6409754302495756E+9
6E+0	171.14882862189176E-3	52.857498354982546E-3	3.6409754307506466E+9
7E+0	195.26887852642452E-3	383.91440008581301E-3	3.6409754312544575E+9
8E+0	217.43786634403076E-3	971.28151270460472E-3	3.6409754317572288E+9
9E+0	237.43428687652995E-3	134.48653543284772E-3	3.6409754322600226E+9
10E+0	255.05834249989923E-3	591.74027155375453E-3	3.6409754327630401E+9
11E+0	270.13393947608816E-3	549.68159869294686E-3	3.6409754332662473E+9
12E+0	282.51044742344034E-3	403.18454624642852E-3	3.6409754337708211E+9
13E+0	292.06420436567559E-3	691.85131671332023E-3	3.6409754342729254E+9
14E+0	298.69975232147922E-3	745.68832709196964E-3	3.6409754347771306E+9
15E+0	302.35079108909735E-3	815.52106337270591E-3	3.6409754352799602E+9
16E+0	302.98084069603687E-3	348.49561844801924E-3	3.6409754357820463E+9
17E+0	300.58360589489197E-3	102.52401543800405E-3	3.6409754362850671E+9
18E+0	295.18303906337523E-3	799.88448656366939E-3	3.640975436787509E+9
19E+0	286.83310088007713E-3	761.12418819355021E-3	3.6409754372898087E+9
20E+0	275.61722116720261E-3	167.92884286656218E-3	3.6409754377947474E+9
21E+0	261.64746528736571E-3	239.65748544814391E-3	3.6409754382974639E+9
22E+0	245.06341442353047E-3	276.27137329951701E-3	3.6409754388000803E+9
23E+0	226.03077092997004E-3	424.76254585843876E-3	3.6409754393039894E+9
24E+0	204.73970268911643E-3	839.31758219535268E-3	3.6409754398071814E+9
25E+0	181.40294301694088E-3	467.22438886239193E-3	3.640975440310339E+9
26E+0	156.25366510198066E-3	788.96017307701216E-3	3.6409754408130617E+9
27E+0	129.543152215916E-3	362.40905289826952E-3	3.6409754413167758E+9
28E+0	101.53828697418292E-3	384.82898946382882E-3	3.6409754418199921E+9
29E+0	72.518884733098921E-3	594.12523687924468E-3	3.6409754423235378E+9
30E+0	42.774897767317979E-3	578.4862362706924E-3	3.6409754428259153E+9
31E+0	12.603518162547315E-3	249.88840861543626E-3	3.6409754433302751E+9
32E+0	-17.693791629534324E-3	172.54118066284607E-3	3.6409754438332739E+9
33E+0	-47.814310904443422E-3	123.44802964945045E-3	3.640975444335948E+9
34E+0	-77.457085390105262E-3	710.00263015049958E-3	3.6409754448401346E+9
35E+0	-106.3259342824575E-3	928.25381497110027E-3	3.6409754453438258E+9
36E+0	-134.13240958614042E-3	429.6534556323206E-3	3.640975445847981E+9
37E+0	-160.59867819151832E-3	681.92354771029007E-3	3.6409754463511982E+9
38E+0	-185.46029789127139E-3	971.35309706217887E-3	3.6409754468529549E+9
39E+0	-208.4688595995188E-3	70.986378372588588E-3	3.6409754473563113E+9
40E+0	-229.39446937329089E-3	395.1249750152801E-3	3.6409754478594308E+9
41E+0	-248.02804543681503E-3	971.46335859516175E-3	3.6409754483621759E+9
42E+0	-264.18340725750605E-3	938.96274622872022E-3	3.6409754488660383E+9
43E+0	-277.69913580030386E-3	659.22153116188786E-3	3.6409754493681459E+9
44E+0	-288.44018637331503E-3	142.13096186454477E-3	3.6409754498717203E+9
45E+0	-296.29923794973301E-3	971.68030348652634E-3	3.6409754503756809E+9
46E+0	-301.19776548406352E-3	484.42969209921061E-3	3.6409754508781681E+9
47E+0	-303.08682450842134E-3	267.41079914363186E-3	3.6409754513821421E+9
48E+0	-301.947540169475E-3	424.93440476889788E-3	3.6409754518851089E+9
49E+0	-297.79129581974184E-3	18.910905309756254E-3	3.6409754523884697E+9
50E+0	-290.65961927889283E-3	297.58941139468442E-3	3.6409754528907909E+9
