#2020-11-02
#17:24
#Balayage par: dphy-morrislab
#ScanTask Size: 201

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:1; Dwell(s)1.000000E-2; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
550E+0	89E+0
551E+0	46E+0
552E+0	17E+0
553E+0	36E+0
554E+0	87E+0
555E+0	135E+0
556E+0	105E+0
557E+0	290E+0
558E+0	325E+0
559E+0	377E+0
560E+0	742E+0
561E+0	962E+0
562E+0	1.389E+3
563E+0	1.385E+3
564E+0	1.358E+3
565E+0	1.761E+3
566E+0	1.673E+3
567E+0	1.366E+3
568E+0	1.579E+3
569E+0	1.311E+3
570E+0	1.498E+3
571E+0	2.065E+3
572E+0	2.191E+3
573E+0	1.821E+3
574E+0	2.346E+3
575E+0	1.992E+3
576E+0	2.31E+3
577E+0	2.159E+3
578E+0	2.066E+3
579E+0	2.349E+3
580E+0	2.644E+3
581E+0	2.571E+3
582E+0	2.13E+3
583E+0	1.828E+3
584E+0	2.056E+3
585E+0	1.508E+3
586E+0	1.766E+3
587E+0	1.773E+3
588E+0	1.884E+3
589E+0	2.101E+3
590E+0	1.705E+3
591E+0	2.154E+3
592E+0	1.722E+3
593E+0	1.894E+3
594E+0	1.478E+3
595E+0	2.169E+3
596E+0	2.031E+3
597E+0	1.607E+3
598E+0	1.92E+3
599E+0	1.967E+3
600E+0	1.93E+3
601E+0	1.938E+3
602E+0	2.009E+3
603E+0	1.968E+3
604E+0	1.887E+3
605E+0	2.262E+3
606E+0	2.501E+3
607E+0	1.698E+3
608E+0	2.202E+3
609E+0	2.568E+3
610E+0	2.178E+3
611E+0	1.955E+3
612E+0	2.468E+3
613E+0	2.914E+3
614E+0	2.219E+3
615E+0	2.836E+3
