#2020-11-27
#16:51
#Balayage par: Administrateur
#ScanTask Size: 601

#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):1000*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 50 µV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 321.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
400.0276E+0	160E-9	0E+0
400.9979E+0	100E-9	0E+0
401.968E+0	160E-9	0E+0
403.0072E+0	0E+0	0E+0
403.9771E+0	0E+0	0E+0
405.016E+0	130E-9	0E+0
405.9855E+0	280E-9	-90E+0
407.024E+0	0E+0	0E+0
407.9932E+0	100E-9	0E+0
409.0314E+0	110E-9	0E+0
410.0003E+0	270E-9	-90E+0
410.9691E+0	110E-9	0E+0
412.0068E+0	0E+0	0E+0
412.9752E+0	200E-9	-90E+0
414.0125E+0	110E-9	0E+0
414.9806E+0	510E-9	8.4E+0
416.0176E+0	100E-9	0E+0
416.9854E+0	0E+0	0E+0
418.0221E+0	300E-9	-90E+0
418.9895E+0	160E-9	0E+0
420.026E+0	100E-9	0E+0
420.993E+0	150E-9	0E+0
422.029E+0	120E-9	0E+0
422.9958E+0	420E-9	146.05E+0
424.0315E+0	180E-9	0E+0
424.9979E+0	0E+0	0E+0
426.0332E+0	330E-9	-90E+0
426.9992E+0	0E+0	0E+0
428.0343E+0	160E-9	0E+0
429E+0	250E-9	0E+0
429.9656E+0	200E-9	-20.7E+0
431.0002E+0	0E+0	0E+0
432.0344E+0	0E+0	0E+0
432.9994E+0	280E-9	177.5E+0
434.0334E+0	0E+0	0E+0
434.9982E+0	0E+0	0E+0
436.0317E+0	400E-9	-180E+0
436.9962E+0	0E+0	0E+0
438.0293E+0	0E+0	0E+0
438.9934E+0	0E+0	0E+0
440.0263E+0	30E-9	0E+0
440.99E+0	150E-9	0E+0
442.0224E+0	100E-9	0E+0
442.9858E+0	110E-9	0E+0
444.018E+0	160E-9	0E+0
444.981E+0	280E-9	180E+0
446.0128E+0	110E-9	0E+0
446.9755E+0	0E+0	0E+0
448.0068E+0	170E-9	0E+0
448.9692E+0	150E-9	0E+0
450.0002E+0	0E+0	0E+0
451.0309E+0	280E-9	156.95E+0
451.9929E+0	0E+0	0E+0
453.0232E+0	0E+0	0E+0
453.9848E+0	210E-9	180E+0
