#2019-06-03
#12:41
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642425064088E+9	0E+0	256.50357147E-3	3.642425064092E+9	0E+0	0E+0
1E+0	3.642425064095E+9	0E+0	983.3227090637E-3	3.642425064211E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642425064212E+9	0E+0	68.10903967807E-3	3.642425064304E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642425064306E+9	0E+0	22.74552765618E-3	3.642425064387E+9	277.5463882952E-3	277.5463882952E-3
0E+0	3.642425064389E+9	1E+0	885.5037522319E-3	3.642425064481E+9	365.7335505573E-3	1.82121253224E+9
1E+0	3.642425064483E+9	1E+0	902.9997549193E-3	3.642425064577E+9	450.2664240777E-3	1.821212532335E+9
2E+0	3.642425064579E+9	1E+0	626.8230100686E-3	3.642425064632E+9	530.3003843269E-3	1.821212532409E+9
3E+0	3.642425064634E+9	1E+0	797.0127533126E-3	3.642425064709E+9	605.03575843E-3	1.821212532493E+9
0E+0	3.642425064711E+9	2E+0	594.0401404778E-3	3.642425064779E+9	673.725815233E-3	1.214141688358E+9
1E+0	3.64242506478E+9	2E+0	313.1093985866E-3	3.642425064899E+9	735.6842263944E-3	1.214141688328E+9
2E+0	3.642425064901E+9	2E+0	882.9916243934E-3	3.642425064987E+9	790.2919239506E-3	1.214141688567E+9
3E+0	3.642425064989E+9	2E+0	856.0351665764E-3	3.642425065061E+9	837.0032858384E-3	1.214141688614E+9
