#2020-12-10
#12:27
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.AgilentDMM(Arb)     
3.69046602274E+9	6.31667195E+0
3.690466022878E+9	6.31665153E+0
3.690466023019E+9	6.31669617E+0
3.690466023159E+9	6.31660508E+0
3.690466023309E+9	6.31668077E+0
3.690466023449E+9	6.31663958E+0
3.690466023588E+9	6.31670095E+0
3.690466023729E+9	6.31663689E+0
3.690466023869E+9	6.3166647E+0
3.69046602401E+9	6.31663418E+0
3.690466024149E+9	6.3166253E+0
3.690466024288E+9	6.31668885E+0
3.690466024429E+9	6.31663089E+0
3.690466024569E+9	6.31664623E+0
3.690466024709E+9	6.31665527E+0
3.690466024849E+9	6.3166487E+0
3.690466024989E+9	6.31668486E+0
3.690466025128E+9	6.31669461E+0
3.690466025269E+9	6.31661155E+0
3.690466025409E+9	6.31667629E+0
3.690466025551E+9	6.31663199E+0
3.690466025689E+9	6.31665258E+0
3.69046602583E+9	6.31666923E+0
3.690466025969E+9	6.31665423E+0
3.690466026108E+9	6.31663958E+0
3.69046602625E+9	6.31663567E+0
3.690466026399E+9	6.31667161E+0
3.690466026564E+9	6.31664464E+0
3.690466026709E+9	6.3165947E+0
3.69046602685E+9	6.31662648E+0
3.690466026989E+9	6.31670817E+0
3.690466027129E+9	6.31666425E+0
3.69046602727E+9	6.31670836E+0
3.690466027408E+9	6.31668998E+0
3.690466027549E+9	6.31660601E+0
3.690466027689E+9	6.31667605E+0
3.690466027829E+9	6.31661959E+0
3.690466027969E+9	6.31660052E+0
3.690466028109E+9	6.31663573E+0
3.690466028261E+9	6.31667988E+0
3.690466028398E+9	6.31671104E+0
3.690466028541E+9	6.3166623E+0
3.690466028679E+9	6.31658933E+0
3.69046602882E+9	6.31663582E+0
3.69046602896E+9	6.31670305E+0
3.6904660291E+9	6.31665829E+0
3.69046602924E+9	6.31660013E+0
3.690466029379E+9	6.31668236E+0
3.690466029518E+9	6.31671082E+0
3.690466029659E+9	6.31670502E+0
3.6904660298E+9	6.31672111E+0
3.690466029939E+9	6.31663961E+0
3.690466030078E+9	6.31658174E+0
3.690466030218E+9	6.31658489E+0
3.690466030359E+9	6.31660974E+0
3.690466030499E+9	6.31658157E+0
3.69046603064E+9	6.31663758E+0
3.690466030779E+9	6.31665601E+0
3.690466030919E+9	6.31657896E+0
3.690466031058E+9	6.31664577E+0
3.690466031198E+9	6.31669776E+0
3.690466031339E+9	6.31669023E+0
3.690466031479E+9	6.3165904E+0
3.690466031618E+9	6.31666917E+0
3.69046603176E+9	6.31668674E+0
3.690466031898E+9	6.31661349E+0
3.690466032038E+9	6.31669124E+0
3.690466032178E+9	6.31668804E+0
3.690466032319E+9	6.3166602E+0
3.690466032459E+9	6.3165999E+0
3.690466032598E+9	6.31668877E+0
3.690466032739E+9	6.31662926E+0
3.690466032879E+9	6.3165888E+0
3.690466033019E+9	6.31669411E+0
3.690466033158E+9	6.31663311E+0
3.690466033301E+9	6.31668652E+0
3.690466033439E+9	6.31665086E+0
3.690466033579E+9	6.31668598E+0
3.690466033719E+9	6.31663132E+0
3.690466033858E+9	6.31666624E+0
3.690466033998E+9	6.31668989E+0
3.69046603414E+9	6.31659852E+0
3.69046603428E+9	6.31669588E+0
3.690466034418E+9	6.31668376E+0
3.690466034558E+9	6.31661039E+0
3.690466034699E+9	6.31667001E+0
3.69046603484E+9	6.31665561E+0
3.690466034979E+9	6.31667599E+0
3.69046603512E+9	6.31666989E+0
3.69046603526E+9	6.31666036E+0
3.690466035399E+9	6.31662417E+0
3.690466035538E+9	6.31666483E+0
3.690466035679E+9	6.31659799E+0
3.69046603582E+9	6.31659467E+0
3.69046603596E+9	6.31668823E+0
3.690466036099E+9	6.31664082E+0
3.69046603624E+9	6.31662733E+0
3.690466036378E+9	6.31667954E+0
3.690466036518E+9	6.31660261E+0
3.690466036661E+9	6.31665595E+0
3.690466036809E+9	6.31669624E+0
3.69046603695E+9	6.31668832E+0
3.690466037089E+9	6.31663883E+0
3.690466037228E+9	6.31662583E+0
3.690466037369E+9	6.31665578E+0
3.690466037508E+9	6.31659367E+0
3.69046603765E+9	6.31667333E+0
3.690466037788E+9	6.31663652E+0
3.690466037928E+9	6.31669107E+0
3.690466038069E+9	6.31668224E+0
3.69046603821E+9	6.31666911E+0
3.690466038348E+9	6.31658964E+0
3.69046603849E+9	6.31666508E+0
3.69046603863E+9	6.31658489E+0
3.690466038768E+9	6.31661987E+0
3.690466038909E+9	6.31657783E+0
3.690466039048E+9	6.31666177E+0
3.690466039189E+9	6.31668615E+0
3.690466039328E+9	6.31669017E+0
3.690466039468E+9	6.31658064E+0
3.690466039609E+9	6.31658017E+0
3.690466039749E+9	6.31669661E+0
3.690466039889E+9	6.3166129E+0
3.690466040028E+9	6.31667251E+0
3.69046604017E+9	6.31658247E+0
3.690466040309E+9	6.31667718E+0
3.690466040449E+9	6.31663649E+0
3.69046604059E+9	6.31668129E+0
3.69046604073E+9	6.31664296E+0
3.690466040868E+9	6.3166783E+0
3.690466041011E+9	6.31660927E+0
3.69046604116E+9	6.31659836E+0
3.690466041299E+9	6.3166663E+0
3.690466041439E+9	6.31658014E+0
3.69046604158E+9	6.31667055E+0
3.690466041719E+9	6.31666757E+0
3.690466041859E+9	6.31657415E+0
3.690466042E+9	6.31664158E+0
3.690466042139E+9	6.31658992E+0
3.690466042278E+9	6.31660233E+0
3.69046604242E+9	6.31664054E+0
3.690466042558E+9	6.31666942E+0
3.690466042701E+9	6.31659555E+0
3.69046604284E+9	6.31658033E+0
3.690466042979E+9	6.31667217E+0
3.690466043118E+9	6.31658306E+0
3.69046604326E+9	6.31664903E+0
3.6904660434E+9	6.31664251E+0
3.690466043539E+9	6.31658137E+0
3.690466043678E+9	6.31662004E+0
3.69046604382E+9	6.31659136E+0
3.690466043958E+9	6.31657412E+0
3.690466044098E+9	6.31666787E+0
3.690466044238E+9	6.31665989E+0
3.690466044378E+9	6.31658121E+0
3.690466044519E+9	6.31663202E+0
3.69046604466E+9	6.31666165E+0
3.690466044798E+9	6.31666101E+0
3.69046604494E+9	6.3166528E+0
3.690466045079E+9	6.3165818E+0
3.690466045229E+9	6.31658024E+0
3.690466045369E+9	6.31664374E+0
