#2019-05-30
#12:10
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642077411924E+9	0E+0	169.1945996388E-3	3.642077411927E+9	0E+0
1E+0	3.642077411927E+9	0E+0	744.1870944885E-3	3.642077411929E+9	93.76145385975E-3
2E+0	3.64207741193E+9	0E+0	726.2623627144E-3	3.642077411932E+9	186.5860742659E-3
3E+0	3.642077411932E+9	0E+0	758.2674692708E-3	3.642077411934E+9	277.5463882952E-3
4E+0	3.642077411935E+9	0E+0	44.15615299837E-3	3.642077411936E+9	365.7335505573E-3
5E+0	3.642077411937E+9	0E+0	777.2337242669E-3	3.642077412006E+9	450.2664240777E-3
6E+0	3.642077412006E+9	0E+0	931.8999039544E-3	3.642077412008E+9	530.3003843269E-3
7E+0	3.642077412008E+9	0E+0	99.12857338885E-3	3.64207741201E+9	605.03575843E-3
8E+0	3.642077412011E+9	0E+0	440.2668128302E-3	3.642077412012E+9	673.725815233E-3
9E+0	3.642077412012E+9	0E+0	895.9280941136E-3	3.642077412014E+9	735.6842263944E-3
10E+0	3.642077412014E+9	0E+0	357.8443777771E-3	3.642077412016E+9	790.2919239506E-3
