#2020-11-05
#13:46
#Balayage par: dphy-morrislab
#ScanTask Size: 401

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:2; Dwell(s)1.000000E-2; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
500E+0	420E+0
500.5E+0	373.5E+0
501E+0	481.5E+0
501.5E+0	362.5E+0
502E+0	398E+0
502.5E+0	373E+0
503E+0	396.5E+0
503.5E+0	351E+0
504E+0	423E+0
504.5E+0	376.5E+0
505E+0	385.5E+0
505.5E+0	463.5E+0
506E+0	460E+0
506.5E+0	440E+0
507E+0	503E+0
507.5E+0	368.5E+0
508E+0	311E+0
508.5E+0	343E+0
509E+0	417.5E+0
509.5E+0	432.5E+0
510E+0	354.5E+0
510.5E+0	508E+0
511E+0	381.5E+0
511.5E+0	426E+0
512E+0	358.5E+0
512.5E+0	472.5E+0
513E+0	408.5E+0
513.5E+0	396E+0
514E+0	303E+0
514.5E+0	367E+0
515E+0	299.5E+0
515.5E+0	352E+0
516E+0	273.5E+0
516.5E+0	324E+0
517E+0	259E+0
517.5E+0	270.5E+0
518E+0	394.5E+0
518.5E+0	353E+0
519E+0	235.5E+0
519.5E+0	332.5E+0
520E+0	313E+0
520.5E+0	445E+0
521E+0	365.5E+0
521.5E+0	245.5E+0
522E+0	473E+0
522.5E+0	417.5E+0
523E+0	398.5E+0
523.5E+0	404.5E+0
524E+0	491.5E+0
524.5E+0	333E+0
525E+0	432.5E+0
525.5E+0	326.5E+0
526E+0	324.5E+0
526.5E+0	301E+0
527E+0	297.5E+0
527.5E+0	299E+0
528E+0	461.5E+0
528.5E+0	361E+0
529E+0	403E+0
529.5E+0	412E+0
530E+0	456.5E+0
530.5E+0	377E+0
531E+0	430E+0
531.5E+0	506E+0
532E+0	415E+0
532.5E+0	318E+0
533E+0	507E+0
533.5E+0	356E+0
534E+0	322E+0
534.5E+0	374E+0
535E+0	392.5E+0
535.5E+0	356.5E+0
536E+0	310.5E+0
536.5E+0	419.5E+0
537E+0	586.5E+0
537.5E+0	428E+0
538E+0	522.5E+0
538.5E+0	540.5E+0
539E+0	547.5E+0
539.5E+0	511.5E+0
540E+0	523E+0
540.5E+0	649E+0
541E+0	628.5E+0
541.5E+0	740E+0
542E+0	845.5E+0
542.5E+0	975.5E+0
543E+0	939E+0
543.5E+0	911.5E+0
544E+0	1.075E+3
544.5E+0	1.255E+3
545E+0	898E+0
545.5E+0	855E+0
546E+0	786.5E+0
546.5E+0	829.5E+0
547E+0	587E+0
547.5E+0	565E+0
548E+0	645E+0
548.5E+0	638E+0
549E+0	657.5E+0
549.5E+0	579E+0
550E+0	570E+0
550.5E+0	457E+0
551E+0	773.5E+0
551.5E+0	432E+0
552E+0	391.5E+0
552.5E+0	425.5E+0
553E+0	575E+0
553.5E+0	583.5E+0
554E+0	514E+0
554.5E+0	488.5E+0
555E+0	408.5E+0
555.5E+0	461E+0
556E+0	483E+0
556.5E+0	624E+0
557E+0	457E+0
557.5E+0	447E+0
558E+0	538E+0
558.5E+0	415E+0
559E+0	440.5E+0
559.5E+0	381.5E+0
560E+0	475E+0
560.5E+0	480E+0
561E+0	495E+0
561.5E+0	545.5E+0
562E+0	529E+0
562.5E+0	274.5E+0
563E+0	443.5E+0
563.5E+0	444E+0
564E+0	484E+0
564.5E+0	553.5E+0
565E+0	547.5E+0
565.5E+0	421E+0
566E+0	360E+0
566.5E+0	593.5E+0
567E+0	576E+0
567.5E+0	566.5E+0
568E+0	434.5E+0
568.5E+0	439E+0
569E+0	456E+0
569.5E+0	442.5E+0
570E+0	336E+0
570.5E+0	383.5E+0
571E+0	744.5E+0
571.5E+0	496.5E+0
572E+0	434.5E+0
572.5E+0	389E+0
573E+0	435E+0
573.5E+0	474.5E+0
574E+0	537E+0
574.5E+0	478.5E+0
575E+0	446.5E+0
575.5E+0	379E+0
576E+0	528E+0
576.5E+0	460.5E+0
577E+0	517.5E+0
577.5E+0	435.5E+0
578E+0	702E+0
578.5E+0	443.5E+0
579E+0	647.5E+0
579.5E+0	498E+0
580E+0	649.5E+0
580.5E+0	678.5E+0
581E+0	712.5E+0
581.5E+0	604E+0
582E+0	601E+0
582.5E+0	432E+0
583E+0	635E+0
583.5E+0	604.5E+0
584E+0	593E+0
584.5E+0	660.5E+0
585E+0	506.5E+0
585.5E+0	807E+0
586E+0	656E+0
586.5E+0	574.5E+0
587E+0	537.5E+0
587.5E+0	595E+0
588E+0	695.5E+0
588.5E+0	483E+0
589E+0	562.5E+0
589.5E+0	416E+0
590E+0	470.5E+0
590.5E+0	401.5E+0
591E+0	455E+0
591.5E+0	487.5E+0
592E+0	467.5E+0
592.5E+0	405E+0
593E+0	395E+0
593.5E+0	503E+0
594E+0	548.5E+0
594.5E+0	330.5E+0
595E+0	351.5E+0
595.5E+0	401E+0
596E+0	443E+0
596.5E+0	291E+0
597E+0	500E+0
597.5E+0	350E+0
598E+0	357E+0
598.5E+0	366.5E+0
599E+0	572E+0
599.5E+0	436E+0
600E+0	476E+0
600.5E+0	383E+0
