#2018-10-15
#15:25
#Balayage par: glaliber
#ScanTask Size: 101,101


#Tools.Ind Point(Point)        	Tools.ScanPar(Arb)            	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      	Tools.Crb 1 Dat(Arb)          
0E+0	0E+0	3.6224763282180095E+9	550.54517152532156E-3	0E+0
1E+0	0E+0	3.6224763282710099E+9	395.7112936553826E-3	49.521384243899E-3
2E+0	0E+0	3.6224763283240099E+9	484.68661479673525E-3	98.547967186026195E-3
3E+0	0E+0	3.6224763283750095E+9	937.56482133304075E-3	146.58989141565754E-3
4E+0	0E+0	3.6224763284030099E+9	588.25880383873907E-3	193.16713790643936E-3
5E+0	0E+0	3.6224763284570098E+9	176.95765943322073E-3	237.81432220782639E-3
6E+0	0E+0	3.6224763284860096E+9	149.74700432044208E-3	280.08534441267618E-3
7E+0	0E+0	3.6224763285410099E+9	289.95826352032439E-3	319.55784644006002E-3
8E+0	0E+0	3.6224763285980096E+9	17.348668649471266E-3	355.83743209759483E-3
9E+0	0E+0	3.6224763286270099E+9	192.55687067991079E-3	388.56160775782694E-3
10E+0	0E+0	3.6224763286840095E+9	837.69555208070257E-3	417.40340427473366E-3
11E+0	0E+0	3.6224763287110095E+9	301.20253677486053E-3	442.07464395134854E-3
12E+0	0E+0	3.6224763287380099E+9	243.35612250444139E-3	462.32881991605018E-3
13E+0	0E+0	3.6224763287660098E+9	20.985476602513486E-3	477.96355913774002E-3
14E+0	0E+0	3.6224763287940097E+9	811.74693568957545E-3	488.82264447027235E-3
15E+0	0E+0	3.6224763288220096E+9	884.96658938730599E-3	494.79757552254106E-3
16E+0	0E+0	3.6224763288520098E+9	145.59942601963338E-3	495.82865275852134E-3
17E+0	0E+0	3.6224763288810096E+9	801.67661932753464E-3	491.90557399530022E-3
18E+0	0E+0	3.6224763289120097E+9	332.85652581768455E-3	483.06753733908231E-3
19E+0	0E+0	3.6224763289420099E+9	33.07230237003167E-3	469.40284953067002E-3
20E+0	0E+0	3.6224763289710097E+9	289.63578270117885E-3	451.04804361369988E-3
21E+0	0E+0	3.6224763290010095E+9	357.99747694376349E-3	428.18651474160191E-3
22E+0	0E+0	3.6224763290750098E+9	57.317812606211938E-3	401.0466877538495E-3
23E+0	0E+0	3.6224763291100097E+9	648.30260810689144E-3	369.89973483047028E-3
24E+0	0E+0	3.6224763291840095E+9	250.69841175078267E-3	335.05686602926071E-3
25E+0	0E+0	3.6224763292160096E+9	562.64043942179343E-3	296.86621977776145E-3
26E+0	0E+0	3.6224763292910099E+9	841.10860274680932E-3	255.70938438916829E-3
27E+0	0E+0	3.6224763293240099E+9	630.7766335906384E-3	211.99758535804294E-3
28E+0	0E+0	3.6224763294130096E+9	562.28942002526294E-3	166.167576531105E-3
29E+0	0E+0	3.6224763294460096E+9	124.69879115508631E-3	118.67727620716605E-3
30E+0	0E+0	3.6224763294880099E+9	216.99494219645188E-3	70.001191768856885E-3
31E+0	0E+0	3.6224763295210099E+9	82.750755833200795E-3	20.625678561710891E-3
32E+0	0E+0	3.6224763295560098E+9	164.5454628042593E-3	-28.955919607680864E-3
33E+0	0E+0	3.6224763296120095E+9	740.79916494452613E-3	-78.248199799906909E-3
34E+0	0E+0	3.6224763296460099E+9	862.07973823377371E-3	-126.75864984514845E-3
