#2020-12-10
#12:48
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.AgilentDMM(Arb)     
3.690467300911E+9	-69.1376768E-6
3.690467301051E+9	-25.6365367E-6
3.690467301191E+9	-64.8316372E-6
3.690467301331E+9	-19.6431849E-6
3.690467301471E+9	-47.0271E-6
3.690467301612E+9	-73.8891417E-6
3.690467301751E+9	-7.86125238E-6
3.690467301891E+9	-53.4186823E-6
3.690467302031E+9	-45.3982937E-6
3.690467302171E+9	-37.9224007E-6
3.690467302313E+9	-64.4919126E-6
3.690467302451E+9	-18.5947579E-6
3.690467302594E+9	-80.2986659E-6
3.690467302742E+9	-78.9218254E-6
3.690467302883E+9	-38.9887695E-6
3.690467303022E+9	-56.4535821E-6
3.690467303162E+9	-76.1388914E-6
3.690467303301E+9	-7.29881498E-6
3.690467303441E+9	-58.7797795E-6
3.690467303581E+9	-42.6446127E-6
3.690467303723E+9	-47.8528142E-6
3.690467303862E+9	-63.9879811E-6
3.690467304001E+9	-20.6217948E-6
3.690467304141E+9	-70.1455396E-6
3.690467304281E+9	-45.2812818E-6
3.690467304421E+9	-22.396866E-6
3.690467304562E+9	-87.9793299E-6
3.690467304701E+9	-26.9841242E-6
3.690467304841E+9	-59.9339073E-6
3.690467304981E+9	-52.1767956E-6
3.690467305121E+9	-48.8606771E-6
3.690467305262E+9	-75.547201E-6
3.690467305401E+9	-25.355318E-6
3.690467305541E+9	-47.987768E-6
3.690467305681E+9	-68.0420549E-6
3.690467305821E+9	-30.1832307E-6
3.690467305962E+9	-69.3896425E-6
3.690467306103E+9	-10.052496E-6
3.690467306241E+9	-69.747309E-6
3.690467306381E+9	-49.6165743E-6
