#2020-11-03
#11:29
#Balayage par: dphy-morrislab
#ScanTask Size: 81

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:1; Dwell(s)1.000000E-2; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
560E+0	481E+0
560.5E+0	997E+0
561E+0	957E+0
561.5E+0	1.326E+3
562E+0	1.159E+3
562.5E+0	1.434E+3
563E+0	1.497E+3
563.5E+0	2.141E+3
564E+0	1.882E+3
564.5E+0	2.033E+3
565E+0	3.025E+3
565.5E+0	3.004E+3
566E+0	3.372E+3
566.5E+0	3.643E+3
567E+0	3.557E+3
567.5E+0	3.543E+3
568E+0	3.866E+3
568.5E+0	3.927E+3
569E+0	4.405E+3
569.5E+0	4.239E+3
570E+0	4.254E+3
570.5E+0	4.66E+3
571E+0	4.953E+3
571.5E+0	4.648E+3
572E+0	5.062E+3
572.5E+0	5.492E+3
573E+0	5.341E+3
573.5E+0	5.743E+3
574E+0	5.783E+3
574.5E+0	5.767E+3
575E+0	6.624E+3
575.5E+0	6.564E+3
576E+0	6.937E+3
576.5E+0	5.598E+3
577E+0	6.499E+3
577.5E+0	6.579E+3
578E+0	7.939E+3
578.5E+0	8.696E+3
579E+0	8.46E+3
579.5E+0	7.461E+3
580E+0	8.114E+3
580.5E+0	8.856E+3
581E+0	7.61E+3
581.5E+0	7.968E+3
582E+0	8.48E+3
582.5E+0	8.512E+3
583E+0	8.847E+3
583.5E+0	9.346E+3
584E+0	8.849E+3
584.5E+0	9.054E+3
585E+0	9.178E+3
585.5E+0	9.155E+3
586E+0	9.621E+3
586.5E+0	9.178E+3
587E+0	8.57E+3
587.5E+0	8.339E+3
588E+0	8.299E+3
588.5E+0	7.182E+3
589E+0	8.224E+3
589.5E+0	7.962E+3
590E+0	7.04E+3
590.5E+0	6.904E+3
591E+0	7.567E+3
591.5E+0	7.635E+3
592E+0	7.569E+3
592.5E+0	8.238E+3
593E+0	7.871E+3
593.5E+0	7.37E+3
594E+0	7.255E+3
594.5E+0	7.477E+3
595E+0	8.048E+3
595.5E+0	7.925E+3
596E+0	7.118E+3
596.5E+0	5.943E+3
597E+0	7.647E+3
597.5E+0	8.139E+3
598E+0	7.88E+3
598.5E+0	7.261E+3
599E+0	7.173E+3
599.5E+0	6.868E+3
600E+0	6.984E+3
