#2019-06-04
#16:27
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642524867112E+9	0E+0	831.9462094428E-3	3.642524867115E+9	0E+0	0E+0
1E+0	3.642524867118E+9	0E+0	590.0551515711E-3	3.642524867234E+9	88.88712093625E-3	88.88712093625E-3
2E+0	3.642524867236E+9	0E+0	695.3648476992E-3	3.642524867303E+9	176.8861111423E-3	176.8861111423E-3
3E+0	3.642524867306E+9	0E+0	229.2231818243E-3	3.64252486737E+9	263.1177137966E-3	263.1177137966E-3
0E+0	3.642524867372E+9	1E+0	156.3839774622E-3	3.642524867433E+9	0E+0	1.821262433717E+9
1E+0	3.642524867435E+9	1E+0	362.1142304328E-3	3.642524867442E+9	88.88712093625E-3	1.821262433765E+9
2E+0	3.642524867444E+9	1E+0	527.3778983499E-3	3.642524867548E+9	176.8861111423E-3	1.821262433863E+9
3E+0	3.64252486755E+9	1E+0	303.0099114651E-3	3.642524867587E+9	263.1177137966E-3	1.821262433925E+9
0E+0	3.642524867589E+9	2E+0	436.8186189303E-3	3.642524867616E+9	0E+0	1.214174955957E+9
1E+0	3.642524867618E+9	2E+0	39.3634770045E-3	3.642524867625E+9	88.88712093625E-3	1.214174955857E+9
2E+0	3.642524867627E+9	2E+0	268.296054887E-3	3.64252486765E+9	176.8861111423E-3	1.214174955998E+9
3E+0	3.642524867651E+9	2E+0	160.342431774E-3	3.642524867657E+9	263.1177137966E-3	1.214174956003E+9
