#2019-05-17
#18:03
#Balayage par: lalg1702
#ScanTask Size: 51


#Tools.Indice de points(Points)	Tools.Crb 1 Dat(Arb)          	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           
0E+0	0E+0	736.55959417588113E-3	3.6409754024767628E+9
1E+0	30.260515496984115E-3	196.00089458311087E-3	3.6409754024787574E+9
2E+0	60.218677925918881E-3	76.519742099045329E-3	3.640975402480752E+9
3E+0	89.575155230666267E-3	97.41624988489983E-3	3.6409754024827471E+9
4E+0	118.03662719395849E-3	822.67111661720782E-3	3.6409754024847412E+9
5E+0	145.31871619605008E-3	253.29533187151609E-3	3.6409754024867363E+9
6E+0	171.14882862189176E-3	730.88784925329064E-3	3.6409754025974393E+9
7E+0	195.26887852642452E-3	862.29493691181946E-3	3.6409754025994349E+9
8E+0	217.43786634403076E-3	204.56129248109645E-3	3.6409754026004324E+9
9E+0	237.43428687652995E-3	185.2676869938521E-3	3.6409754026024251E+9
10E+0	255.05834249989923E-3	692.98097457896479E-3	3.6409754026034241E+9
11E+0	270.13393947608816E-3	92.058666006000323E-3	3.6409754026054201E+9
12E+0	282.51044742344034E-3	394.72038387658276E-3	3.6409754026074138E+9
13E+0	292.06420436567559E-3	513.39135736419705E-3	3.6409754026682477E+9
14E+0	298.69975232147922E-3	720.62854764842976E-3	3.6409754026692448E+9
15E+0	302.35079108909735E-3	673.99251036527463E-3	3.6409754026702423E+9
16E+0	302.98084069603687E-3	103.17628174751126E-3	3.6409754026712399E+9
17E+0	300.58360589489197E-3	521.82232812907103E-3	3.6409754026722374E+9
18E+0	295.18303906337523E-3	376.59366244816161E-3	3.6409754026732345E+9
19E+0	286.83310088007713E-3	430.06952380663666E-3	3.6409754026732345E+9
20E+0	275.61722116720261E-3	589.94691513612074E-3	3.6409754026742315E+9
21E+0	261.64746528736571E-3	459.98740431087731E-3	3.6409754026752286E+9
22E+0	245.06341442353047E-3	472.06297625461002E-3	3.6409754026762261E+9
23E+0	226.03077092997004E-3	326.78306877428653E-3	3.6409754026772237E+9
24E+0	204.73970268911643E-3	752.36183329905504E-3	3.6409754027081432E+9
25E+0	181.40294301694088E-3	661.05356489365796E-3	3.6409754027091408E+9
26E+0	156.25366510198066E-3	850.93231415856585E-3	3.6409754027101374E+9
27E+0	129.543152215916E-3	848.42616879851196E-3	3.6409754027111349E+9
28E+0	101.53828697418292E-3	24.772860117245443E-3	3.640975402712132E+9
29E+0	72.518884733098921E-3	676.18329243233455E-3	3.6409754027131295E+9
30E+0	42.774897767317979E-3	538.23312370593501E-3	3.6409754027151241E+9
31E+0	12.603518162547315E-3	254.31434370586214E-3	3.6409754027161217E+9
32E+0	-17.693791629534324E-3	86.67395922459975E-3	3.6409754027171192E+9
33E+0	-47.814310904443422E-3	648.73713977238556E-3	3.6409754027181168E+9
34E+0	-77.457085390105262E-3	480.20466192995448E-3	3.6409754027939143E+9
35E+0	-106.3259342824575E-3	88.697824336506859E-3	3.6409754027949114E+9
36E+0	-134.13240958614042E-3	636.97758399750781E-3	3.640975402795908E+9
37E+0	-160.59867819151832E-3	536.79039331282929E-3	3.6409754027969055E+9
38E+0	-185.46029789127139E-3	95.443846587871084E-3	3.6409754027989011E+9
39E+0	-208.4688595995188E-3	34.902010323057508E-3	3.6409754027998981E+9
40E+0	-229.39446937329089E-3	817.80079329326893E-3	3.6409754028008957E+9
41E+0	-248.02804543681503E-3	908.35061837657371E-3	3.6409754028018923E+9
42E+0	-264.18340725750605E-3	310.37365561347796E-3	3.6409754028028898E+9
43E+0	-277.69913580030386E-3	567.23817618856354E-3	3.6409754028397918E+9
44E+0	-288.44018637331503E-3	821.2742620367437E-3	3.6409754028407884E+9
45E+0	-296.29923794973301E-3	739.41842631901078E-3	3.6409754028417859E+9
46E+0	-301.19776548406352E-3	71.30817933794642E-3	3.64097540284378E+9
47E+0	-303.08682450842134E-3	479.05664330167697E-3	3.6409754028447781E+9
48E+0	-301.947540169475E-3	168.28223680791332E-3	3.6409754028457746E+9
49E+0	-297.79129581974184E-3	270.94067699862912E-3	3.6409754028467731E+9
50E+0	-290.65961927889283E-3	316.96415343036022E-3	3.6409754028477697E+9
