#2019-06-06
#14:49
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642691745612E+9	0E+0	798.9581368933E-3	3.642691747114E+9	0E+0	0E+0
1E+0	3.642691747117E+9	0E+0	678.3368335706E-3	3.642691748619E+9	88.88712093625E-3	88.88712093625E-3
2E+0	3.642691748622E+9	0E+0	738.6665693387E-3	3.642691750125E+9	176.8861111423E-3	176.8861111423E-3
3E+0	3.642691750128E+9	0E+0	515.0277729798E-3	3.64269175163E+9	263.1177137966E-3	263.1177137966E-3
0E+0	3.642691751633E+9	1E+0	201.7784121538E-3	3.642691753136E+9	0E+0	0E+0
1E+0	3.642691753138E+9	1E+0	639.3805930973E-3	3.642691754641E+9	88.88712093625E-3	177.7742418725E-3
2E+0	3.642691754644E+9	1E+0	62.3830366576E-3	3.642691756146E+9	176.8861111423E-3	353.7722222846E-3
3E+0	3.642691756149E+9	1E+0	390.0157898773E-3	3.642691757651E+9	263.1177137966E-3	526.2354275931E-3
0E+0	3.642691757654E+9	2E+0	254.0686152573E-3	3.642691759156E+9	0E+0	0E+0
1E+0	3.642691759159E+9	2E+0	50.68949688022E-3	3.642691760661E+9	88.88712093625E-3	266.6613628088E-3
2E+0	3.642691760664E+9	2E+0	146.6625646436E-3	3.642691762168E+9	176.8861111423E-3	530.6583334268E-3
3E+0	3.642691762171E+9	2E+0	892.8816101995E-3	3.642691763672E+9	263.1177137966E-3	789.3531413897E-3
