#2021-12-08
#5:10:37 PM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 126
###Échantillon: NV centerboite 2 : J; #Matériaux: Diamond; #Objectif: 100x 0.75NA; #Hauteur fente d'entrée: 15 mm; #Hauteur fente de sortie: 15 mm; #Filtre ND 1: 0.4 OD; #Filtre ND 2: 1.0 OD; 
#Température: 293.00°K; #Filtre Entrée: Orange 550nm; #Détecteur: Photon Counter R2949; 
#Source d'excitation: Diode 532nm; #Puissance Laser: 100.00mW; #Pre-amplificateur: Aucun; #Autres: ; 

#Instrument: Triax@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 1; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.200; Output Slit(mm): 0.400;
#Instrument: SR400@SR400.lvclass; Function:Read_Count (Arb); Parameters: *BeforeWait(ms): 200;*AfterWait(ms): 0; ; NbPeriod:3; Dwell(s)2.000000E-3; T Preset(s)1.000000E+0; Mode:A,B for T Preset
#
#Triax.Position(nm)            	SR400.Compte moy(ph)          
625.0034666667E+0	3.135666666667E+3
625.1988E+0	3.100666666667E+3
625.3942666667E+0	2.058666666667E+3
625.5895333333E+0	3.031333333333E+3
625.7848E+0	3.058333333333E+3
626.0189333333E+0	2.946333333333E+3
626.2141333333E+0	3.091666666667E+3
626.4094666667E+0	3.202E+3
626.6044E+0	3.088333333333E+3
626.7996E+0	3.101E+3
626.9948E+0	3.029E+3
627.1897333333E+0	3.236666666667E+3
627.3848E+0	3.055E+3
627.6188E+0	3.078333333333E+3
627.8137333333E+0	3.069E+3
628.0086666667E+0	3.145E+3
628.2034666667E+0	3.013E+3
628.3984E+0	3.224E+3
628.5932666667E+0	3.022666666667E+3
628.7879333333E+0	3.101333333333E+3
628.9828666667E+0	3.184666666667E+3
629.2164666667E+0	3.187333333333E+3
629.4110666667E+0	3.099333333333E+3
629.6058666667E+0	3.116333333333E+3
629.8005333333E+0	3.019666666667E+3
629.9950666667E+0	3.228E+3
630.1896E+0	3.237333333333E+3
630.3842E+0	3.328666666667E+3
630.6177333333E+0	3.266E+3
630.8122E+0	3.298333333333E+3
631.0066E+0	3.210333333333E+3
631.2010666667E+0	3.312E+3
631.3954666667E+0	3.372666666667E+3
631.59E+0	3.24E+3
631.7842E+0	3.382333333333E+3
632.0173333333E+0	3.354666666667E+3
632.2116666667E+0	3.201E+3
632.406E+0	3.338E+3
632.6002E+0	3.333333333333E+3
632.7943333333E+0	3.375E+3
632.9885333333E+0	3.269666666667E+3
633.1825333333E+0	3.263666666667E+3
633.4156E+0	3.289333333333E+3
633.6096E+0	3.428666666667E+3
633.8036666667E+0	3.458333333333E+3
633.9976E+0	3.443666666667E+3
634.1914666667E+0	3.428666666667E+3
634.3854666667E+0	3.402E+3
634.6182666667E+0	3.574333333333E+3
634.8121333333E+0	3.579333333333E+3
635.0058666667E+0	3.506333333333E+3
635.1997333333E+0	3.687E+3
635.3935333333E+0	3.856E+3
635.5873333333E+0	3.656666666667E+3
635.781E+0	3.993666666667E+3
636.0134666667E+0	3.881666666667E+3
636.2070666667E+0	4.047666666667E+3
636.4006666667E+0	4.103333333333E+3
636.5942666667E+0	4.408333333333E+3
636.7878666667E+0	4.41E+3
636.9814666667E+0	4.633E+3
637.2136E+0	4.947333333333E+3
637.4070666667E+0	5.251333333333E+3
637.6005333333E+0	5.428666666667E+3
637.7938E+0	5.586E+3
637.9873333333E+0	5.689E+3
638.2193333333E+0	5.785333333333E+3
638.4126666667E+0	5.685E+3
638.6057333333E+0	5.571333333333E+3
638.7991333333E+0	5.283E+3
638.9924E+0	5.075333333333E+3
639.1856E+0	5.038666666667E+3
639.4173333333E+0	4.826333333333E+3
639.6104E+0	4.783666666667E+3
639.8036E+0	4.783666666667E+3
639.9966666667E+0	4.365333333333E+3
640.1896E+0	4.482E+3
640.3826E+0	4.391333333333E+3
640.6141333333E+0	2.901E+3
640.8070666667E+0	4.261666666667E+3
641E+0	4.358E+3
641.1929333333E+0	4.164333333333E+3
641.3857333333E+0	2.774333333333E+3
641.6170666667E+0	4.273E+3
641.8098666667E+0	4.244E+3
642.0026E+0	4.191333333333E+3
642.1954E+0	4.322333333333E+3
642.3881333333E+0	4.348E+3
642.6192E+0	4.151666666667E+3
642.8117333333E+0	4.141E+3
643.0044E+0	4.424333333333E+3
643.1969333333E+0	4.323333333333E+3
643.3895333333E+0	4.388333333333E+3
643.582E+0	4.117E+3
643.8129333333E+0	4.277333333333E+3
644.0052666667E+0	4.222333333333E+3
644.1977333333E+0	4.227666666667E+3
644.3900666667E+0	4.299333333333E+3
644.5823333333E+0	4.324E+3
644.8132E+0	4.212E+3
645.0054666667E+0	4.439666666667E+3
645.1976E+0	4.383E+3
645.3898666667E+0	4.227E+3
645.5820666667E+0	4.255333333333E+3
645.8125333333E+0	4.170333333333E+3
646.0047333333E+0	4.33E+3
646.1968E+0	4.434333333333E+3
